title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Nanoengineered doping overcomes sintering and grain-boundary limitations in all-solid-state lithium batteries with garnet electrolytes,https://www.nature.com/articles/s41565-026-02226-w,Nature Nanotechnology,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,10.1038/s41565-026-02226-w,Chunsheng Wang,"Li6.5La3Zr1.5Ta0.5O12 (LLZTO) garnet material is a promising inorganic electrolyte for all-solid-state lithium metal batteries because of its safety, broad electrochemical stability and low air sensitivity. However, LLZTO faces critical challenges related to sintering and grain boundaries that adversely affect its mechanical and electrochemical properties. Here we propose oversaturation doping of yttrium into Li6.72La3.00Y0.22Zr1.28Ta0.50O12 (LLYZTO) using 1.0 wt% of (Y2O3)0.08(ZrO2)0.92 (YSZ). During annealing, a La–Y–O (LYO) nanoscale interphase forms at the grain boundaries. This material nanoengineering approach improves indentation fracture toughness, increases the critical current density and enhances bulk ionic conductivity while maintaining low electronic conductivity. The LLYZTO with 1.0 wt% of YSZ (LLYZTO–1.0 wt% YSZ) is more lithiophobic than its undoped counterpart, and accommodates the volume changes of LiCoO2 during battery operation, enabling a 2.2 mAh cm−2 all-solid-state Li||LiCoO2 coin cell to deliver 2.0 mAh cm−2 at 0.66 mA cm−2 for over 100 cycles at 30 °C and 1 MPa of stack pressure. The fracture toughness of LLYZTO–1.0 wt% YSZ also allows the sintering fabrication of a square 5.29-cm2 and 150 µm-thick electrolyte membrane, which can be effectively used in lab-scale Li||LiCoO2 pouch cells. We also demonstrate the extension of the LYO interphase approach to other Li-based inorganic solid electrolytes.",nature_html,0
Oncogenic Ras drives EED degradation and PRC2 dysfunction to promote aggressive squamous cell carcinoma,https://www.nature.com/articles/s41467-026-75529-0,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Elena Ezhkova,"Squamous cell carcinomas (SCCs) are common epithelial malignancies frequently associated with EZH2 upregulation, which correlates with aggressive growth and poor prognosis. EZH2 functions as the catalytic subunit of Polycomb repressive complex 2 (PRC2), which deposits the repressive H3K27me3 histone mark, yet PRC2 function in SCC pathogenesis remains unresolved. Here, we uncover a paradox: although EZH2 is elevated, the PRC2-catalyzed H3K27me3 is profoundly reduced in human SCC and complementary murine models. Mechanistically, we identify that oncogenic Ras signaling causes degradation of the PRC2 subunit EED, destabilizing PRC2 and depleting H3K27me3. Loss of EED reprograms keratinocytes into an aggressive tumor-specific cell state and induces paracrine factors that remodel the tumor microenvironment, driving metastasis. Remarkably, reintroducing EED suppresses tumor growth via restoring PRC2 integrity and H3K27me3 levels, revealing the reversibility of this epigenetic collapse. These findings link oncogenic signaling to epigenetic reprogramming and uncover PRC2 reconstitution as a potential therapeutic option in epithelial cancers.",nature_html,0
Unconventional skyrmions in synthetic antiferromagnets,https://www.nature.com/articles/s41563-026-02673-9,Nature Materials,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,10.1038/s41563-026-02673-9,Stephen McVitie,"Magnetic skyrmions are topologically protected spin textures that can act as reconfigurable nanoscale information carriers. In synthetic antiferromagnets, interlayer exchange coupling provides a control parameter beyond the interfacial Dzyaloshinskii–Moriya interaction and magnetic anisotropy. Here we engineer a synthetic antiferromagnet of two chemically distinct ferromagnets, CoB and CoFeB, in which the external field and interlayer exchange act asymmetrically on the sublattices. Their competition, acting as an effective field, gives rise to two skyrmion families in different field regimes: conventional-polarity skyrmions at large fields, and inverse-polarity skyrmions at smaller fields, where the effective field reverses sign. Using element-resolved X-ray magnetometry, correlative magnetic force and Lorentz transmission electron microscopies, and micromagnetic modelling, we show that all textures reside solely in the CoFeB layers, driven by a Ruderman–Kittel–Kasuya–Yosida exchange field from the CoB layers. This effective-field route enables programmable three-dimensional spin textures with layer-selected polarity for skyrmion-based computing.",nature_html,0
Transcriptomic analysis of tissue-resident memory T cells of the fallopian tube reveals a precursor immune surveillance network for ovarian cancer prevention,https://www.nature.com/articles/s41467-026-74599-4,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Ahmed Ashour Ahmed,"The fallopian tube (FT) is increasingly recognized as the origin of high-grade serous ovarian cancer (HGSOC), yet its immune landscape remains poorly understood. Here, we employ single-cell RNA sequencing and paired T-cell receptor sequencing to profile tissue-resident memory-like T cells (TRML) from patient-derived matched non-cancerous FT, metastatic tumors, and peripheral blood. We identify substantial clonal and functional overlap (18.4%) between FT-derived and tumor-infiltrating TRMLs, exceeding that of circulating T cells. Shared clonotypes are preferentially enriched in exhausted CD8+ subsets, including a previously uncharacterized SIK3-high subset linked to epigenetic plasticity and metabolic adaptation. Functionally, FT-derived TRMLs recognize autologous tumor antigens, showing strong interferon-γ (IFN-γ) responses and CD137 upregulation in organoid coculture assays, supporting a role in early immune surveillance. Notably, FT TRMLs exhibit lower exhaustion than tumor counterparts, suggesting therapeutic potential. These findings reveal a precursor immune surveillance network in the FT and support leveraging FT-resident T cells for cancer immunotherapy and prevention.",nature_html,0
Genetic or pharmacological inhibition of hepatic TMEM141 attenuates MASH and fibrosis via the ROS-HNF4α signaling pathway,https://www.nature.com/articles/s41467-026-75425-7,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Yanqiao Zhang,"Metabolic dysfunction-associated steatoic liver disease (MASLD) and its advanced form, metabolic dysfunction-associated steatohepatitis (MASH), have become a global epidemic due to obesity and genetic susceptibility. Here, we report transmembrane protein 141 (TMEM141), a protein with a largely unknown function, as a key regulator of MASH and MASH-associated fibrosis. Hepatic TMEM141 is reduced in MASLD/MASH patients and mouse models of MASLD/MASH due to increased microRNA-149. Unexpectedly, genetic inactivation of hepatocyte TMEM141 protects against MASLD/MASH induced by a high fat/cholesterol/fructose (HFCF) diet, whereas hepatic overexpression of human TMEM141 exacerbates MASLD/MASH. We further show that TMEM141 localizes within mitochondria and interacts with mitochondrial complex I to regulate ROS production. Inactivation of TMEM141 reduces ROS production, induces hepatocyte nuclear factor 4α (HNF4α), and fails to protect against HFCF diet-induced MASH or fibrosis in the absence of hepatocyte HNF4α. Finally, pharmacological inhibition of hepatic TMEM141 by N-acetylgalactosamine (GalNAc)-siTmem141 significantly promotes the reversal of HFCF diet-induced MASH and fibrosis. These findings underscore a critical role of TMEM141 in MASH development and suggest that targeting hepatic TMEM141 may represent a promising strategy for treating MASH and MASH-associated fibrosis.",nature_html,0
A small nucleolar RNA dictates the structure and function of translating ribosomes in Leishmania,https://www.nature.com/articles/s41467-026-75486-8,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Shulamit Michaeli,"The most common rRNA modification is 2’-O-methylation. Here, we determine the landscape of 2’-O-methylation in Leishmania, a parasite that cycles between two different hosts, insect and mammalian. We find two 2’-O-methylated positions that are differentially modified during the parasite’s two life stages. The deposition of these modifications is guided by snoRNAs. When we perform cytosine base-editing of the snoRNA responsible for guiding one of the two stage-regulated modifications, Am479, we fail to detect ribosomes lacking this modification, suggesting that it is essential. To better understand the role of the snoRNA and its guided modification, we determine the cryo-EM structures of ribosomes from cells overexpressing the guiding snoRNA and compare them to ribosomes from the parental strain. We do not find structural changes around Am479 or in the small subunit rRNA, but observe a difference in H68 of the large subunit rRNA due to a second base-pairing interaction, suggesting a potential chaperone activity for the snoRNA. Based on these results, translatome and tRNA analysis, we propose a mechanism whereby changes in ribosome structure affect the release of specific tRNAs, which correlate with changes in translation of only a subset of mRNAs.",nature_html,0
Hierarchical nano-orderings enable extraordinary cryogenic strength-ductility synergy in a medium-entropy alloy,https://www.nature.com/articles/s41467-026-75563-y,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Zibin Chen,"Cryogenic alloys simultaneously achieving ultrahigh yield strength (YS ≥ 2.0 GPa) alongside substantial uniform elongation (UE) are critically needed, yet fundamentally constrained by the strength-ductility trade-off. Guided by Eshelby’s inclusion theory, we reconcile this challenge by designing a novel hierarchical nano-ordering (HNO) architecture within an ultrafine-grained NiCoCr-based multi-principal element alloy, fabricated via combining additive-manufacturing and tailored post-processing. The HNOs—featuring a controlled size distribution and interfacial properties—comprise dispersed incoherent σ-dispersoids (~70 nm), a high density of bimodal coherent L12 precipitates (~5 and 26 nm) and widespread, highly-distorted local-chemical-orderings (~0.7 nm). This configuration introduces a stepwise increase in elastic strain energy, which in turn triggers the sequential activation of potent dislocation sources. The resulting mobile dislocations engage in extensive and varied interactions with the nano-orderings during deformation, thereby activating cooperative strain-hardening mechanisms. These nano-architectures thus function simultaneously as dislocation generators, strain-hardening enablers, and strengthening agents. Consequently, this HNO-mediated self-hardening and self-ductilizing mechanisms yield an exceptional cryogenic (77 K) property set: YS of ~1.96 GPa, ultimate tensile strength of ~2.35 GPa, and UE of ~22%, surpassing both the cast counterpart and all previously reported advanced alloys. This strategy establishes a transformative paradigm for designing ultrastrong-yet-ductile materials through integrated manufacturing approaches.",nature_html,0
Divergent mechanisms of active antibiotic resistance gene enrichment in soil driven by pesticide diversity,https://www.nature.com/articles/s41467-026-75445-3,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Dong Zhu,"Antimicrobial resistance is an escalating global threat, with soils serving as reservoirs and conduits for the dissemination of antibiotic resistance genes (ARGs). Pesticide use in agriculture contributes to ARG proliferation, and ~60% of agricultural soils contain multiple pesticide residues. However, how pesticide diversity influences ARG dynamics in active microbial populations (active ARGs) remains unclear. Here, we evaluate the effects of pesticide diversity on active soil ARGs through a long-term field experiment integrating bioorthogonal non-canonical amino acid tagging (BONCAT), fluorescence-activated cell sorting (FACS), and metagenomics. We show that both low and high pesticide diversity significantly increase active ARG abundance relative to untreated control, whereas total ARG levels remain largely unchanged. The underlying mechanisms differ with pesticide diversity. At low diversity, active ARG co-selection via efflux pumps in Acinetobacter baumannii is a prominent mechanism. At high diversity, elevated reactive oxygen species and SOS responses promote horizontal gene transfer of active ARGs, as validated by culture experiments. These findings demonstrate that increasing pesticide diversity accelerates the emergence and dissemination of active ARGs, highlighting the need for integrated pesticide management strategies that consider both application intensity and diversity to mitigate resistance risks under the One Health framework.",nature_html,0
ERG preserves endothelial identity to limit atherosclerosis,https://www.nature.com/articles/s41467-026-75287-z,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Kathryn L. Howe,"Endothelial function is a safeguard against atherosclerosis, yet endothelial‑to‑mesenchymal transition (EndMT) can occur at atheroprone sites. How endothelial identity loss contributes to atherogenesis remains unclear. Here we investigated the role of the ETS transcription factor ERG, a key regulator of endothelial identity, in atheroprogression. Inducible endothelial Erg deletion increased plaque burden in hypercholesterolemic mice. Lineage tracing and single‑cell transcriptomics showed that ERG loss drove endothelial dedifferentiation, mesenchymal fate acquisition, and migration and expansion of EndMT cells within plaques, which interacted with pro‑atherogenic cells. ERG loss also caused early disruption of barrier function, promoting lipid uptake and foam cell accumulation in normally atheroresistant regions. In human atherosclerotic plaques, ERG chromatin accessibility and expression were reduced, with transcriptional changes mirroring those in mice. Restoring ERG in cultured EndMT cells reversed mesenchymal programs and re‑established endothelial identity. These findings identify ERG as an enforcer of endothelial function that restricts EndMT to limit atherosclerosis.",nature_html,0
Antibody reveals conformational latch regulating dimerization in β- and γ-herpesvirus proteases,https://www.nature.com/articles/s41467-026-75438-2,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00 UTC,2026-07-13 00:00:00+00:00,,Charles S. Craik,"Human herpesvirus (HHV) replication depends on the HHV protease (HHV Pr), an enzyme essential for capsid maturation. Because HHV Pr must transition from an inactive monomer to an active dimer, disrupting dimerization is a promising antiviral strategy. We isolate Fab5, a conformationally selective antibody from a naïve Fab-phage library that recognizes monomeric human cytomegalovirus protease (HCMV) Pr. A 2.6 Å cryo-EM structure reveals Fab5 binds a “latch loop” distal to the active site and dimer interface that secures the C-terminal tail in dimers. Structure-guided mutagenesis in both HCMV Pr and Kaposi’s Sarcoma-associated herpesvirus (KSHV) Pr confirms the functional importance of a 3-residue motif present in β- and γ-HHV Pr latch loops, validating the mechanistic role of the latch loop in dimerization and activity. Because the latch loop is structurally conserved in all HHV Prs, the cryptic sites they form present an avenue for allosteric inhibitor development.",nature_html,0
