title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Dynamic attraction of leached metal species enables durable glucose electrooxidation in a strong acid,https://www.nature.com/articles/s41467-026-73501-6,Physical sciences : Nature Communications subject feeds,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,,Haohong Duan,"Electrooxidation of organic compounds to produce organic acid in an acidic electrolyte can circumvent product acidification step with high cost in alkaline electrolyte. However, catalysts often suffer from low stability in acid owing to severe leaching. Herein, we report a strategy to dynamically attract leached metal species to stabilize catalyst in a strong acid. In electrooxidation of glucose to formic acid over a lead dioxide (PbO2) catalyst, switching the electrolyte from HClO4 to H2SO4 reduces Pb2+ leaching by up to 30 times. As a result, a 275-hour stable performance at 1 A cm‒2 is achieved in H2SO4 (pH 0.3) using a membrane electrode assembly. Experimental evidence demonstrates that the SO42− ion attracts the leached Pb2+—generated from chemical reduction of PbO2 by glucose—by in-situ forming PbSO4 precipitate on the electrode, which is then oxidized to the active PbO2 phase. Benefiting from acidic electrolysis, we achieve raw cellulose conversion to formic acid without intermediate separation through an acid hydrolysis−electrolysis tandem process. This work demonstrates an efficient strategy to stabilize electrocatalysts that suffer from leaching issues in acidic conditions.",nature_html,0
Device could sniff out fusion reactors secretly making material for a nuclear bomb,https://www.nature.com/articles/d41586-026-01764-6,Nature,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1038/d41586-026-01764-6,,Antineutrinos made alongside the production of weapons-grade plutonium could be spotted with existing technology. Antineutrinos made alongside the production of weapons-grade plutonium could be spotted with existing technology.,nature_html,0
Author Correction: Physiology and immunology of a pig-to-human decedent kidney xenotransplant,https://www.nature.com/articles/s41586-026-10694-2,Nature,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1038/s41586-026-10694-2,Megan Sykes,,,0
Toward a unified data-driven turbulence model through multi-objective learning,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag344/8702617?rss=1,National Science Review Advance Access,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1093/nsr/nwag344,Heng Xiao,"Turbulence remains one of the last unresolved problems of classical physics and a major bottleneck to accurate flow prediction in climate, aerospace, and energy systems. Industrial simulations therefore rely on averaged representations of turbulence, which often struggle to predict flows governed by multiple interacting mechanisms. We present a unified, data-driven turbulence modeling framework designed to learn robustly from sparse, indirect observations across diverse flow regimes. The framework embeds physical consistency into a flexible, frame-invariant closure, automatically selects representative training cases based on similarity of flow-feature distributions, and learns a single, unified model through a multi-objective ensemble strategy that balances competing objectives across flows and quantities of interest. The resulting unified foundation model adapts seamlessly across regimes without manual intervention. It outperforms existing turbulence models across a broad spectrum of canonical flows and maintains improved performance in complex three-dimensional configurations of industrial relevance, including a gas turbine diffuser, a generic car, and a generic aircraft. When application-specific accuracy is required, the framework further enables specialist models through additive fine-tuning on targeted flow datasets. The results demonstrate the feasibility of a deployable and generalized turbulence modeling approach that unifies multiple flow mechanisms within a single architecture for a broad range of natural and industrial flows.",rss_oup,0
The emerging antarctic amplification,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag343/8702397?rss=1,National Science Review Advance Access,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1093/nsr/nwag343,Lei Zhang,"Qigang Wu, JiKai Tian, Qianyi Yu, Shizuo Li, Chang Yang, Aixue Hu, Lei Zhang; The emerging antarctic amplification, National Science Review, , nwag343, htt",openalex,0
Basin uplift and related climate dynamics drive far-field submarine landslides,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag342/8702392?rss=1,National Science Review Advance Access,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1093/nsr/nwag342,Shucheng Xie,"Submarine landslides can generate catastrophic cascading hazards, including tsunamis. Tectonics and climate have long been hypothesized to influence slope instability, but how they control repeated slope failures over geological time scales is still unclear. In this study from the South China Sea, we find that > 90% of the ∼1,900 m-thick Plio-Quaternary succession consists of repeated submarine landslide deposits, and they onset suddenly at about 5.5 Ma. We demonstrate that uplift of the Red River basin and associated strengthening of the Indian Summer Monsoon drive a regime shift in sediment supply, characterized by a sustained increase that persists to the present, steepening the margin slope and promoting sediment overpressure, thereby triggering widespread mass wasting. This study demonstrates a teleconnection between continental tectonic–climatic changes and submarine landslide activity, thereby advancing our understanding of repeated slope-instability phenomena within a source-to-sink stratigraphic framework and contributing to the reconstruction of Earth’s history.",rss_oup,0
Structure-programmable solid electrolytes for stack-pressure-free all-solid-state micro-batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag345/8702391?rss=1,National Science Review Advance Access,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1093/nsr/nwag345,Zhong-Shuai Wu,"Structural programming enables the rational construction of solid electrolytes into architected frameworks capable of stress regulation, directional ion transport modulation, and interfacial stabilization, thereby allowing stack-pressure-free operation of all-solid-state microbatteries integrated within microsystems.",crossref,0
Brain-like optical computing: a pathway from edge intelligence to embodied intelligence,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag336/8702387?rss=1,National Science Review Advance Access,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1093/nsr/nwag336,Min Gu,"Moving beyond matrix-based optics, brain-like optical computing combines photonic memory, learning and event-driven processing for ultralow-latency perception, high-bandwidth interaction and energy-efficient autonomous control across edge and embodied systems.",crossref,0
Interfacial hydrogen-bond network regulation enables selective CO2 reduction to ethanol on copper-free electrocatalysts,https://www.cell.com/chem/fulltext/S2451-9294(26)00144-0?rss=yes,Chem,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1016/j.chempr.2026.103078,Tanyuan Wang,"Selective electroreduction of CO2 into ethanol—a storable fuel—has been limited almost exclusively to copper. Herein, a copper-free Ag/Cr2O3 catalyst is designed to produce ethanol with >50% faradaic efficiency at ∼160 mA/cm2 with the assistance of perchlorate. The presence of perchlorate disrupts the continuous hydrogen-bond network, thereby inhibiting the competing hydrogen evolution. The Ag–Cr asymmetric sites further stabilize the C–C coupling intermediates and lower the ethanol pathway barriers over ethylene, thus enabling selective ethanol generation.",rss_cell,0
Ionic thermoelectrics: a soft energy conversion technique,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag333/8702384?rss=1,National Science Review Advance Access,2026-06-04 00:00:00 UTC,2026-06-04 00:00:00+00:00,10.1093/nsr/nwag333,Nicholas X Fang,"Weishu Liu, Xiaogang Zhang, Nicholas X Fang; Ionic thermoelectrics: a soft energy conversion technique, National Science Review, , nwag333, https://doi.org",openalex,0
