title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Leveraging thermal regimes and connectivity networks to promote evolutionary adaptation across coral reef seascapes,https://www.cell.com/one-earth/fulltext/S2590-3322(26)00153-3?rss=yes,One Earth,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,10.1016/j.oneear.2026.101752,Peter J. Mumby,"The rise of marine heat waves threatens coral reefs, potentially outpacing adaptation. Managing reef seascapes to support thermal evolution is well recognized, but specific actions and site prioritizations are only emerging. We present an operational framework that leverages heat-wave exposure and larval dispersal patterns to create reef functional units with distinct roles and management needs. Using the Great Barrier Reef, we explore the emergent management portfolio and find complementary regional priorities: protection and outplanting for assisted evolution are prioritized in southern reefs, while northern reefs serve as valuable heat-tolerant sources. Strategic, evolution-informed management is critical for reef survival as climate pressures intensify.",openalex,0
A dilute nitrate electrolyte for all-climate batteries,https://www.cell.com/joule/fulltext/S2542-4351(26)00232-1?rss=yes,Joule,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,10.1016/j.joule.2026.102548,Chunzhong Li,"You et al. report a data-driven strategy that enables inexpensive lithium nitrate to serve as the main salt in a dilute lithium-ion battery electrolyte. The designed low-concentration electrolyte reduces cost while stabilizing battery interfaces, enabling all-climate operation in pouch cells.",rss_cell,0
Geopolymer-based electrolytes derived from industrial solid waste for structural energy storage,https://www.cell.com/joule/fulltext/S2542-4351(26)00231-X?rss=yes,Joule,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,10.1016/j.joule.2026.102547,Changwen Miao,"Turning waste into useful infrastructure is central to low-carbon energy storage. This study converts fly ash and slag into a strong, ion-conducting geopolymer electrolyte for zinc-ion brick batteries. By engineering connected pores that guide ions efficiently, the material combines mechanical durability with long-term electrochemical performance, pointing toward building components that can both bear loads and store energy.",rss_cell,0
Unveiling surface and subsurface atomic vacancies in MoS2 with lateral force microscopy,https://www.nature.com/articles/s41467-026-75151-0,Physical sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Cristina Gómez-Navarro,"Atomic-scale defects govern materials properties, with their influence amplified in low-dimensional systems. Understanding and controlling such defects is therefore essential for both fundamental science and technological applications. However, precise defect identification and localization remain major challenges. Lateral force microscopy (LFM), an atomic force microscopy mode that measures friction forces through the lateral torsion of the cantilever, is an appealing technique for probing surface properties. Nevertheless, it has conventionally been regarded as insensitive to structural features beneath the topmost atomic layer. In this study, we overturn this paradigm by demonstrating that LFM can not only detect but also classify atomic vacancies in MoS2 according to their depth. By combining experiments with molecular dynamics and Prandtl-Tomlinson (PT) modeling, we identify unique frictional fingerprints associated with each defect type: surface vacancies produce a characteristic ’drop-and-rise’ signature, whereas subsurface vacancies generate a pronounced exit barrier without an entry drop. While molecular dynamics validates these specific MoS2 signatures, the PT model reveals a generic, geometric lattice-disruption mechanism, extending the validity of our findings beyond MoS2. Furthermore, we apply these findings to compare the defect density and defect types in MoS2 flakes obtained via chemical vapor deposition (CVD) and mechanical exfoliation.",nature_html,0
Publisher Correction: Microbial growth rates captured using Raman-SIP reveal a highly active subsurface biosphere fueled by serpentinization,https://www.nature.com/articles/s41467-026-75332-x,Earth and environmental sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Alexis S. Templeton,,,0
The distribution of Earth’s wind-blown sand dunes,https://www.nature.com/articles/s41467-026-75466-y,Earth and environmental sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Andrew Gunn,"Sand dunes develop when there is a source of sediment and adequate wind. Dune morphology and occurrence can then be used to infer sediment source distribution and formative climate conditions. This is useful where direct climate observation is challenging on Earth, other planets, and the past. However, there has been no complete and accurate digital map of the occurrence of Earth’s sand dunes with distinguishable morphologies. Here we present that map and demonstrate that in arid environments dune presence is mostly explained by convergent transport and source proximity, whereas in wetter climates wind strength is an additional constraint. By limiting analysis to dunes identified from globally available imagery and topographic data, we produce a consistent dataset useful for inferring myriad aspects of geology and climate, and improving understanding of aeolian landscapes. We provide an example, using barchan dune orientations, to demonstrate a trade-off between inference of sediment and wind characteristics.",nature_html,0
Author Correction: Coupled sulfur-silicon isotopes reveal supracrustal origin of Archean continents,https://www.nature.com/articles/s41467-026-75460-4,Earth and environmental sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Guochun Zhao,,,0
Preferential nitrogen retention characterizes current eutrophication in United States lakes,https://www.nature.com/articles/s41467-026-75318-9,Earth and environmental sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Xilong Wang,"The relative retention of nitrogen (N) and phosphorus (P) in lakes and their roles in nutrient cycling remain debated. Although the United States has implemented long-term P control measures in lakes, inexplicable eutrophication exacerbation still reoccurred over the past two decades. Here we geographically track and analyze the nutrient retention changes of 121 lakes in the USA during 2012-2022 using a combination of machine learning and Bayesian hierarchical methods. We find that the preferential retention of P in 70.3% lakes in 2012 shifted to that of N in 85.1% lakes in 2017, and 92.6% lakes in 2022. Four key lake indicators exhibit flickering-like dynamics, which may help identify the nutrient metabolic disorder-like state in the aquatic ecosystem. Overall, our results show that eutrophication in U.S. lakes during 2012-2022 is advancing on the basis of preferential and net nutrient retention shift from P to N, flickering-like dynamics, and associated occurrence of the nutrient metabolic disorder-like state that are all predominantly driven by internal cycling instead of external loading. These patterns are consistent with the possibility of a regime shift rather than simple eutrophication recurrence, and provide insights relevant to lake management and water quality improvement strategies.",nature_html,0
Aligning climate and air quality goals demands early VOC control for China’s ozone pollution,https://www.nature.com/articles/s41467-026-75387-w,Earth and environmental sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Likun Xue,"Global surface ozone (O3), intensified by climate change, poses increasing health and ecosystem threats. Despite stringent air policies, China’s persistent O3 pollution exemplifies a global challenge intertwined with climate actions reshaping emission pathways. Optimal mitigation remains contentious, primarily due to inconsistent conclusions regarding the sensitivity of summer regional O3 formation. Here we show the path dependency in O3 mitigation strategies for synergistic clean air and climate action goal achievement over multidecade scales. This path dependence is validated by observed concurrent plateaus (2020-2023) in deweathered O3 concentrations and sensitivity trends across Chinese megacity clusters. Leveraging this understanding of path dependency, we quantitatively reveal that the optimal future strategy involves prioritizing early volatile organic compound reductions, as their high effectiveness for regional O3 mitigation gradually diminishes towards 2050. This challenges prevailing nitrogen oxides priority paradigms. Our work reframes O3 control, providing a paradigm for resilient air quality-climate governance.",nature_html,0
Asymmetric temperature responses to soil moisture drought legacies under anthropogenic forcing,https://www.nature.com/articles/s41467-026-75496-6,Earth and environmental sciences : Nature Communications subject feeds,2026-07-09 00:00:00 UTC,2026-07-09 00:00:00+00:00,,Josep Peñuelas,"As anthropogenic forcing intensifies, soil moisture droughts have become prevalent across many regions. Soil moisture anomalies can influence near-surface air temperature by modulating both energy and carbon fluxes. However, the annual temperature response to soil moisture anomalies in the year following a soil moisture drought remains unclear. Here, we show that annual soil water loss in the year after soil moisture droughts induces a larger annual warming effect than the annual cooling from an equivalent water gain. This asymmetric response arises only when the effects of anthropogenic greenhouse gas forcing are included, where vegetation is more strongly suppressed after soil moisture drought than enhanced after soil moisture gaining, contributing to reduced transpiration and carbon uptake that collectively amplify warming. More than 60% of global land areas exhibit the asymmetry. Our findings suggest that past climate extremes may accelerate future warming by impairing vegetation’s capacity to regulate biophysical and biogeochemical processes.",nature_html,0
