title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Algal δ13C reveals climate changes during the Cambrian Explosion,https://www.nature.com/articles/s41467-026-74516-9,Earth and environmental sciences : Nature Communications subject feeds,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,,Xingliang Zhang,"Carbon dioxide is a fundamental atmospheric component that regulates Earth’s climate. However, atmospheric CO2 levels (pCO2) during the Cambrian Explosion remain poorly constrained. Here we report pCO2 variations reconstructed via carbon isotope signatures of algal fossils from eight fossil deposits across the Ediacaran–Cambrian transition (~553 to ~508 Ma). Results reveal an increase in pCO2 (±1σ) from ~3–9 to ~9–21 PAL during ~553–529 Ma, followed by a progressive decline to ~5–17 PAL and ~3–8 PAL at ~517 Ma and ~508 Ma, respectively. These temporal pCO2 changes coincide with shifts in marine strontium isotope values, which, together, are most consistent with tectonically driven changes in the carbon and strontium cycles, as supported by the results of Earth system biogeochemical box modelling. Tectonic modulation over a three-stage greenhouse–hypergreenhouse–greenhouse climate could have profoundly influenced marine environments in ways that impacted the early diversification of animals.",nature_html,0
Prospects for mining critical materials from nontraditional water sources to meet decarbonized energy needs,https://www.cell.com/joule/fulltext/S2542-4351(26)00214-X?rss=yes,Joule,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1016/j.joule.2026.102530,Lea R. Winter,"Securing critical materials for decarbonized energy technologies faces growing supply risks. The authors assess nontraditional water sources to diversify production, identifying promising recovery targets such as magnesium and lithium, and streams such as produced water and acid mine drainage, and outline technological and geographic considerations to guide future recovery research.",rss_cell,0
A tectonic shift in supramolecular proton highways,https://www.nature.com/articles/s41557-026-02183-w,Nature Chemistry,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1038/s41557-026-02183-w,Graham N. Newton,"While selective, rapid proton transport in proton exchange membranes is crucial for fuel cell applications, there is a structure–function gap between high-performing, disordered systems and those that are well-defined, yet poorly conductive. Now, a well-defined, self-assembled material links molecular design to desirable conductivities.",nature_html,0
An alkyl phase-change medium refines morphology for 20.75% efficient organic solar cells,https://www.cell.com/joule/fulltext/S2542-4351(26)00211-4?rss=yes,Joule,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1016/j.joule.2026.102527,Zeyun Xiao,"Additives are often used to control how organic solar-cell films form, but many rely on specific chemical interactions and can leave residues that hurt stability. Here, we introduce a different concept—a simple phase-change medium that briefly becomes mobile during processing, creating a short rearrangement window that improves the film’s internal structure. This strategy boosts device efficiency in both binary and ternary systems and benchmarks favorably against a conventional high-boiling-point additive in operational stability.",rss_cell,0
Nanoconfinement drives water ordering,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag384/8713288?rss=1,National Science Review Advance Access,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1093/nsr/nwag384,Xiao-Yu Yang,"Direct probing of nanoconfined water reveals that confinement induces water ordering and enables a liquid–solid transition at room temperature, offering a new paradigm for water-dominated reactions.",crossref,0
Increasingly severe thermal stresses on global photosynthesis using insights from observations of canopy temperature,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag347/8713289?rss=1,National Science Review Advance Access,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1093/nsr/nwag347,Shilong Piao,"Temperatures could routinely exceed the optimal levels for photosynthesis as global warming intensifies, imposing thermal stress on the productivity of vegetation. We utilised satellite-derived canopy temperature and gross primary productivity (GPP) data from 2003 to 2024 to identify the ecosystem-level optimal canopy temperature (Tcan opt) for global photosynthesis and the extent of any thermal acclimation, which may offset warming impacts. Our findings indicated that across the globe, heat-induced restrictions on global photosynthesis are worsening, and areas subjected to thermal limitations have expanded by 1.7 billion hectares (57% increase) over the last 22 years. The number of days per year with high thermal suppression of photosynthesis during that period has increased sharply, averaging 28 days globally, and is especially high in tropical forests (117 days) and key agricultural regions (39 days). We demonstrate that vegetation acclimation to higher canopy temperature is partially mitigating emerging heat stress, but it is insufficient to keep up with the rate of global warming, with more than 90% of vegetated areas, and from locations across the globe, exhibiting partial acclimation. A key feature of our analysis is the use of canopy-level temperatures, which more accurately represent the actual temperatures that vegetation physiologically responds to, rather than previous research using air temperature. This difference accounts for our identified more rapidly intensifying vegetation response to warming than that estimated by other analyses. Overall, our canopy-level analysis reveals an escalating threat to global vegetation productivity and highlights the need for climate models to have refined land components, which often rely on air-temperature forcing and simplified acclimation schemes. Required are targeted ecosystem management strategies for adaptation to further global warming.",rss_oup,0
Molecular-topology-guided multiple-resonance emitters with sub-10-nm bandwidths: ultranarrow high-efficiency solution-processable OLEDs,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag377/8713296?rss=1,National Science Review Advance Access,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1093/nsr/nwag377,Chuluo Yang,"Ultranarrow-band emitters are essential for high-colour-purity organic light-emitting diodes, but their discovery remains largely empirical because spectral narrowing is difficult to predict. Progress has been limited by inefficient synthesis-and-testing cycles and the lack of simple design rules linking molecular structure to excited-state relaxation. Here we establish a predictive design framework for ultranarrow multiple-resonance emitters by treating molecular topology as an explicit handle on structural relaxation. High-throughput screening of B, N-doped triangulene fusion modes identifies an alternating fusion pattern that minimizes reorganization energy and yields a ground-state descriptor for spectral narrowing without explicit excited-state calculations. Guided by this framework, we synthesize sky-blue emitters with photoluminescence bandwidths down to 9.1 nm and solution-processed devices with 10.9-nm electroluminescence bandwidths and 38.1% external quantum efficiency.",rss_oup,0
Rethinking S-curves for policy-driven energy technologies,https://www.cell.com/joule/fulltext/S2542-4351(26)00210-2?rss=yes,Joule,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1016/j.joule.2026.102526,Aleh Cherp,"The adoption of new technologies typically follows an S-curve of acceleration followed by a slowdown, but wind and solar in most countries deviate from this pattern. After a formative phase of erratic growth, renewables undergo initial acceleration that peaks at low market penetration. Growth then alternates between pulses of slower and faster expansion, with average rates below the first peak. Growth rates in front-runner countries therefore provide a benchmark for the likely speed of future global deployment.",rss_cell,0
Why heritage sites are at risk in a warming world — and how to save them,https://www.nature.com/articles/d41586-026-01956-0,Nature,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1038/d41586-026-01956-0,William Megarry,"As rising seas and intensifying disasters threaten historic sites worldwide, new ways to understand, preserve and adapt these places are needed urgently. As rising seas and intensifying disasters threaten historic sites worldwide, new ways to understand, preserve and adapt these places are needed urgently.",nature_html,0
Cancer cells adopt unprecedented strategies to produce a molecule that protects them from iron-dependent death,https://www.nature.com/articles/d41586-026-01802-3,Nature,2026-06-22 00:00:00 UTC,2026-06-22 00:00:00+00:00,10.1038/d41586-026-01802-3,Arkaitz Carracedo,"The finding that spermine molecules in cells bind to iron to prevent it unleashing ferroptosis, a type of cell death, opens up strategies for treating tissue damage and cancer. The finding that spermine molecules in cells bind to iron to prevent it unleashing ferroptosis, a type of cell death, opens up strategies for treating tissue damage and cancer.",nature_html,0
