title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Cationic carbon nanotube modulates surface fields for general acidic CO2 reduction with aqueous organic cations,https://www.nature.com/articles/s41467-026-75152-z,Physical sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Ruquan Ye,"The (bi)carbonate formation in neutral or alkaline media severely limits the carbon and energy efficiency of electrochemical CO2 reduction reaction (CO2RR). Alkali metal cations and polymer coatings employed to inhibit hydrogen evolution reaction (HER) during acidic CO2RR often exacerbate salt precipitation or increase cell resistivity. Here we report cationic carbon nanotubes (CCNTs) as universal additives enabling efficient CO2RR in strong acids. Using bismuth, silver, and copper oxide catalysts, we attain Faradaic efficiency (FE) of 95%, 100%, and 67% for HCOOH, CO, and C2H4 in pH≤1 electrolyte. Notably, while organic cations typically suffer from poor proton shielding and inferior selectivity, CCNT additives enable their use as electrolytes for selective acidic CO2RR. Their higher solubility permits elevated concentrations, improving stability and energy efficiency. Quantum Mechanics reveals that CCNTs physically mixed with metal catalysts alter the distribution of electric field at the electrolyte/electrode interfaces, impeding HER by suppressing hydronium ions migration while promoting CO2RR. These findings highlight CCNTs as versatile and effective additives for advancing acidic CO2RR with improved selectivity, carbon efficiency, energy efficiency, and stability.",nature_html,0
Delicate inhibition of NFκB/RELA circuitry facilitates efficient transition towards ground-state pluripotency in human,https://www.nature.com/articles/s41467-026-74432-y,Biological sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Jing Liu,"Rebuilding human naïve pluripotency from primed stem cells is essential for generating pre-implantation epiblast-like cells, a key source for regenerative medicine. Here we present a defined, feeder-free protocol that efficiently converts primed human pluripotent stem cells (hPSCs) to a naïve-like state within 12 days. Integrated ATAC-seq, RNA-seq and miRNA-seq analyses reveal a rapid chromatin rewiring marked by increased accessibility at OCT/KLF motifs, closure at ZIC/RFX/NFκB sites, upregulation of miR-372/373 and miR-182/183, and downregulation of miR-302 and miR-363/106 clusters. Functional assays demonstrate that the inflammatory transcription factor NFκB/RELA blocks naïve induction by activating peri-implantation barrier genes, including IKBKE and VEGFR1. Conversely, enforced miR-372/373 expression accelerates conversion by directly targeting RELA. These data delineate an NFκB/RELA axis that orchestrates the epigenetic switch to human naïve pluripotency, offering a tractable framework for studying early human development and advancing cell-based therapies.",nature_html,0
Hydrogen bond network disruption enables efficient direct reactive capture of CO2 from flue gas,https://www.nature.com/articles/s41467-026-74647-z,Physical sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Damien Voiry,"Electrochemical CO2 conversion offers a direct route to decarbonized fuels, but its deployment on industrial flue gas remains hindered by the low CO2 content, high O2 levels, and the resulting parasitic oxygen reduction. Binary solvent electrolytes offer a lever to tune the local reaction environment under such dilute and impurity-rich conditions. Here we show a direct reactive capture (DRC) strategy that converts CO2 from dilute streams into CO with near-quantitative Faradaic efficiency in organic electrolytes under moderate pressure. We identify hydrogen-bond donation ability (HBD) as a decisive parameter governing competing hydrogen evolution and oxygen reduction reactions. Employing low-HBD electrolytes disrupts the hydrogen-bond network, suppresses competing reactions, and enables selective CO2 conversion even at 1% CO2 in the presence of O2. When fed with 15% CO2 and 8% O2 balanced with N2, the optimized system sustains >100 h operation with an energy consumption of 30.7 GJ ton−1 CO, and achieves a solar-to-fuel efficiency of ~5.5%. This impurity-tolerant strategy addresses a key barrier for industrial CO2 electrolysis and establishes a scalable route to solar-driven fuel production directly from flue gas.",nature_html,0
The OsMYB4 transcription factor enables coordinated improvement of grain yield and quality in rice,https://www.nature.com/articles/s41467-026-75179-2,Biological sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Jianmin Wan,"The endosperm is the predominant storage organ for starch and storage proteins in cereal grains, which also determines both grain yield and quality. Although key enzymes involved in the biosynthesis of starch and storage proteins have been identified, the underlying regulatory mechanisms remain largely obscure. In this study, we identified OsMYB4, a MYB transcription factor, specifically expressed in rice (Oryza sativa L.) endosperm. Loss-of-function of OsMYB4 led to increased grain chalkiness, accompanied by reduced amylose and protein contents as well as decreased grain yield. OsMYB4 directly binds to the promoters of multiple genes involved in starch and storage protein synthesis to activate their transcription. It also forms protein complexes with multiple transcription factors to synergistically regulate grain yield and quality. In addition, OsMYB4 was directly activated by RISBZ1, a key regulator of storage reserve accumulation. Moreover, overexpression of OsMYB4 resulted in larger grains and enhanced yield. Notably, natural variation analysis revealed that the beneficial haplotype OsMYB4-Hap1 is positively associated with increased grain weight and superior quality. In conclusion, our results demonstrate the regulatory role of OsMYB4 for grain development, which provides valuable genetic resources for simultaneously improving grain yield and quality in rice.",nature_html,0
Allelic variation of an LRR only protein confers dual pathogen resistance in Arabidopsis,https://www.nature.com/articles/s41467-026-75012-w,Biological sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Jianquan Liu,"Plants utilize versatile leucine-rich repeat (LRR) proteins to perceive diverse pathogen-derived signals, thereby activating or suppressing defense responses. However, the specific roles of LRR-only proteins in pathogen-specific resistance remain largely unclear. Here, we show that allelic variations in an Arabidopsis thaliana LRR-only gene, LEUCINE-RICH REPEAT IMMUNE PROTEIN 1 (LRIP1), underlies dual functions in combating distinct pathogens. An allele common in arid regions confers resistance to Pseudomonas syringae pv. tomato (Pst) bacteria via salicylic acid (SA) signaling pathway, whereas an allele enriched in high-precipitation regions protects against Botrytis cinerea fungus via camalexin biosynthesis. Divergence in promoter and coding sequences between the two alleles modulates gene expression and elicitor-associated immune responses, thereby promoting pathogen-specific complex formation with BRASSINOSTEROID INSENSITIVE 1 (BRI1)-ASSOCIATED RECEPTOR KINASE 1 (BAK1). Globally distributed A. thaliana accessions carry two distinct LRIP1 allele groups that correlate with local precipitation conditions. These findings demonstrate that a single LRR-only gene can evolve environmentally adapted alleles that optimize immunity against different pathogens in contrasting habitats.",nature_html,0
Spatiotemporal dynamics of scattering exceptional points,https://www.nature.com/articles/s41467-026-75187-2,Physical sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Jie Zhu,"Exceptional points (EPs) offer new routes to control wave-matter interactions in non-Hermitian systems. Whereas conventional EPs arise in Hamiltonians and mark eigenstate coalescence, scattering EPs recast them in input-output responses for free-space wave control. Yet the rich topology of EPs is largely concealed in steady-state observables, exhibiting similar asymmetric patterns governed by identical Jordan-block forms. Here we exploit scattering as an evolving process in space and time to resolve spatiotemporal dynamics. We establish a cross-domain mapping from momentum-frequency to space-time, connecting static EPs to dynamic scattering singularities. By projecting a unitary scattering matrix onto lower-dimensional subspaces, EP topology is imprinted into a wave packet as a spatiotemporal vortex (STV), whose phase singularity is anchored to the EP and carries its quantized topological charge. In a liquid-surface-wave platform, we observe a charge-1 STV and a disintegrated charge-2 STV, generated by distinct EPs in a single device. Our work links fixed exceptional topology to dynamic wave topology, establishing a framework for spatiotemporal wave control.",nature_html,0
Creating sustainable infrastructure with continuum robots,https://www.nature.com/articles/s41928-026-01663-8,Nature Electronics,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,10.1038/s41928-026-01663-8,Jessica Burgner-Kahrs,"Robots that bend, twist and adapt through continuous deformation could be used to inspect and maintain the infrastructure of modern society. But challenges related to force application, shape estimation, robustness and contact-aware control will need to be addressed before they can have a practical impact.",nature_html,0
Scaling biodiversity-stability relationships from populations to meta-communities across trophic levels,https://www.nature.com/articles/s41467-026-75366-1,Biological sciences : Nature Communications subject feeds,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,,Georg Albert,"Ecological stability is essential for maintaining ecosystem functioning, but may be imperiled by biodiversity loss. Although the scaling of diversity-stability relationships from populations to communities and metacommunities has been studied within single trophic levels, it remains poorly understood when considering interactions between trophic levels. Here, we utilize data collected from a large-scale forest biodiversity experiment to investigate the scaling of temporal stability from populations, to communities, and meta-communities in a plant-herbivore system, allowing us to disentangle the relative role of top-down and bottom-up regulation. We observe that biodiversity has generally stabilizing effects within and between trophic levels. Specifically, species diversity of herbivores shows strong stabilizing top-down effects by enhancing species stability and asynchrony of plants that cascade to higher levels of organization. In contrast, bottom-up effects play a much smaller role. Our study therefore highlights the importance of top-down processes in safeguarding plant stability across levels of organization, while simultaneously providing a framework that allows the investigation of the multi-layered nature of stability mechanisms that needs to be considered for a successful and sustainable ecosystem management.",nature_html,0
Listen to Gen Z when it comes to AI in education,https://www.nature.com/articles/d41586-026-02110-6,Nature,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,10.1038/d41586-026-02110-6,Eleonora Catena,Letter to the Editor,nature_html,0
Say hello to hard helium,https://www.nature.com/articles/d41586-026-02101-7,Nature,2026-07-07 00:00:00 UTC,2026-07-07 00:00:00+00:00,10.1038/d41586-026-02101-7,,"The first solidification of the second-lightest element, and evidence of an ancient salt-water lake in Peru, in this week’s pick from the Nature archive. Snippets from Nature’s past.",nature_html,0
