title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Huge study hints at risks of switching from tobacco cigarettes to vapes,https://www.nature.com/articles/d41586-026-01834-9,Nature,2026-06-14 00:00:00 UTC,2026-06-14 00:00:00+00:00,10.1038/d41586-026-01834-9,,Lung cancer risk was higher in people who took up electronic cigarettes than in those who quit smoking completely. Lung cancer risk was higher in people who took up electronic cigarettes than in those who quit smoking completely.,nature_html,0
Ordered Lattice at Polycrystalline‐Single Crystal Island Interfaces for Efficient CO2/H2O Co‐Electrolysis in Solid Oxide Electrolysis Cells,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71182?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-06-14 12:59:16 UTC,2026-06-14 12:59:16+00:00,10.1002/aenm.71182,Lang Xu,"ABSTRACT
                  
                    Solid oxide electrolysis cells (SOECs) hold promise for large‐scale co‐electrolysis of CO
                    2
                    and H
                    2
                    O to produce syngas (CO/H
                    2
                    ), a key step toward sustainable fuel production. However, the efficiency of this process is often limited by sluggish electrode kinetics and inefficient interfacial charge transfer. Here, we construct a polycrystalline‐single crystal island homojunction via epitaxial growth to overcome these limitations. In this architecture, single‐crystal BaFeO
                    3
                    and BaCo
                    x
                    Fe
                    1‐x
                    O
                    3
                    islands are grown on a polycrystalline Ba
                    0.7
                    Gd
                    0.3
                    FeO
                    3
                    (110) substrate. The resulting structure achieves two major functions: it spatially separates CO
                    2
                    and H
                    2
                    O adsorption sites, while the highly ordered polycrystalline‐single crystal interface, free from dangling bonds, significantly enhances charge transfer kinetics. The BaCo
                    0.1
                    Fe
                    0.9
                    O
                    3
                    /Ba
                    0.7
                    Gd
                    0.3
                    FeO
                    3
                    composite electrode delivers a faradaic efficiency of 95.9% for CO
                    2
                    reduction and shows no notable degradation over 300 h of continuous operation. Moreover, directional doping of Co into the BaFeO
                    3
                    single‐crystal islands precisely modulates the adsorption behavior toward CO
                    2
                    and H
                    2
                    O, allowing a broadly adjustable syngas ratio (CO:H
                    2
                    = 1:1.1 to 1:5.8). This ordered ‘polycrystalline‐single crystal’ structure establishes a materials design strategy in which ordered interfaces and spatially separated active sites converge to overcome the kinetic and transport limitations that have long hindered high‐efficiency co‐electrolysis in SOECs.",crossref,0
Homo‐Electronic‐Type Inner‐ and Outer‐Wall Double‐Wall Carbon Nanotubes for Record‐Efficiency Carbon/Silicon Heterojunction Solar Cells,https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.71194?af=R,Wiley: Advanced Energy Materials: Table of Contents,2026-06-14 13:00:55 UTC,2026-06-14 13:00:55+00:00,10.1002/aenm.71194,Jianhui Chen,"ABSTRACT
                  
                    A fundamental and long‐standing question in carbon nanotube‐silicon (CNT/Si) photovoltaics is whether semiconducting or metallic nanotubes form better heterojunctions. For double‐wall carbon nanotubes (DWCNTs)—where both inner and outer walls can be either semiconducting (S) or metallic (M)—this question becomes more complex, as the electronic synergy between the two walls governs junction behavior. The lack of electronically pure DWCNT materials has, however, precluded a definitive answer. Here, we resolve this via side‐by‐side comparison of high‐purity DWCNTs with homo‐electronic‐type inner and outer walls (S@S and M@M) in heterojunction solar cells. Using optimized Nafion‐based passivation and doping, both S@S and M@M devices achieve record efficiencies &gt;22% on large active areas (≈10 cm
                    2
                    ), outperforming mixed‐type cells. Through systematic optoelectronic and junction‐physics analyses, we demonstrate that the device performance is dictated by the DWCNT electronic type. M@M devices benefit from higher built‐in potential and lower series resistance, yielding marginally higher efficiencies, while S@S devices exhibit the lowest film‐internal recombination. Beyond establishing a design pathway for high‐performance CNT/Si 1D/3D heterojunction, this work provides a materials principle—electronic uniformity in low‐dimensional passivating contacts—applicable to other emerging heterojunction systems, such as perovskite and tandem solar cells, where tailored interfacial energetics and suppressed recombination are equally crucial.",crossref,0
Simulation of fuzz formation on tungsten surface and its impact on sputtering and hydrogen retention by MD-MC hybrid method,https://iopscience.iop.org/article/10.1088/1741-4326/ae7585,Nuclear Fusion - latest papers,2026-06-14 23:00:00 UTC,2026-06-14 23:00:00+00:00,10.1088/1741-4326/ae7585,Minyou Ye,"Tungsten (W) is considered the primary material for the divertor and first wall in future fusion reactors. Under the irradiation of helium (He) plasma, a porous layer named ‘fuzz’ forms on W surface, accompanied by changes in its physical properties. In this paper, the early stage of fuzz is constructed using a molecular dynamics (MD) and Monte Carlo (MC) hybrid method. It provides a more physically realistic structure by allowing the nanostructure to emerge naturally from the interplay of atomic-scale processes. The generated fuzz structures are subsequently employed to evaluate the changes in surface properties, including both sputtering and hydrogen (H) permeation/retention. Simulation results show that the fuzz layer ceases to grow once it reaches a certain thickness. Further analysis indicates that the formation of fuzz structure can suppress the diffusion and accumulation of He from the surface to bulk material. The simulation results also indicate that higher ion energy results in greater He retention, which consequently leads to an increase in the porosity of the fuzz layer. Simulations of He atoms cascades show that, although the energy directly transferred from He atoms (<100 eV) to W atoms is lower than the sputtering threshold energy (∼8.9 eV), W surface modifications and sputtering can still occur via adatoms formation. Compared with flat W surface, fuzzy surface tends to recapture the sputtering W atoms, exhibiting lower net sputtering yield under the same He irradiation conditions. The bombardment by He atoms can also promote the curling of fuzz structures, which may subsequently influence W surface diffusion. Finally, the He–H hybrid simulations indicate that the formation of fuzz structure significantly suppresses the H permeation and retention in the W bulk area and enhances H retention on W surface.",rss_description,0
Recent advances in ambipolar organic light-emitting transistors: materials and devices,http://pubs.rsc.org/en/Content/ArticleLanding/2026/CS/D6CS00036C,RSC - Chem. Soc. Rev. latest articles,2026-06-14 23:00:00 UTC,2026-06-14 23:00:00+00:00,,Huanli Dong,"Achieving balanced ambipolar transport in organic light-emitting transistors (OLETs) is crucial for realizing high-performance electroluminescence and advancing integrated optoelectronics. However, this goal remains challenging due to the imbalanced charge injection and transport for most organic semiconductors. Encouragingly, significant effort has been made through two complementary approaches: molecular engineering to develop ambipolar high-mobility emissive semiconductors, and device architecture optimization to compensate for material limitations. The latter encompasses asymmetric electrodes, interface modification layers, multi-layer device structures, and dual-gate device structures. This review summarizes recent advances in ambipolar OLETs from both materials and device perspectives, with emphasis on the interplay between intrinsic molecular properties and extrinsic device design. Finally, we briefly discuss the persistent challenges and future prospects for achieving high-efficiency ambipolar OLETs.",rsc_html,0
"High-resolution nanopore peptide sensing, profiling and sequence assembly",https://www.nature.com/articles/s41565-026-02192-3,Nature Nanotechnology,2026-06-15 00:00:00 UTC,2026-06-15 00:00:00+00:00,10.1038/s41565-026-02192-3,Shuo Huang,"Nanopores have been explored as a potential platform for protein analysis following the success of nanopore nucleic acid sequencing. However, protein sequencing remains technically challenging and has not yet been established for proteomics use. Here a nickel-immobilized Mycobacterium smegmatis porin A (MspA-NTA-Ni) nanopore is shown to enable the identification of a range of proteomic analytes, including amino acids and peptides up to 39 amino acids in length. Under identical conditions, signals corresponding to 20 proteinogenic amino acids, 4 post-translationally modified amino acids, 32 peptides, 6 modified peptides, 11 bioactive peptides and 2 neoantigen peptides were recorded. Machine-learning-based analysis enabled classification of these analytes with a validation accuracy of up to 97.4% within the studied dataset. The MspA-NTA-Ni nanopore supports both direct peptide identification and peptide profiling following enzymatic hydrolysis. As a proof of concept, a reference peptide was digested using exo- and endopeptidases to generate overlapping peptide fragments. Nanopore measurements combined with machine learning predictions enabled the identification of fragment compositions and partial sequences, allowing reconstruction of the original peptide sequence. This hydrolysis-based approach shows sensitivity to sequence alterations, including mutations, deletions and post-translational modifications, indicating potential utility for targeted peptide characterization.",nature_html,0
Exploring scale effects of energy communities under the Swiss policy framework,https://www.sciencedirect.com/science/article/pii/S0306261926008214?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-06-15 00:00:00 UTC,2026-06-15 00:00:00+00:00,,Russell McKenna,,,0
"SOLACE: a framework for exploring rooftop photovoltaic deployment, with application to Canada",https://www.sciencedirect.com/science/article/pii/S0306261926008883?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-06-15 00:00:00 UTC,2026-06-15 00:00:00+00:00,,Sophie Pelland,,,0
Conditional diffusion models for probabilistic day-ahead load forecasting in modern power systems,https://www.sciencedirect.com/science/article/pii/S0306261926008597?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-06-15 00:00:00 UTC,2026-06-15 00:00:00+00:00,,Jianhui Wang,,,0
Techno-economic optimization and operational performance analysis of a solar-powered EV charging station: A campus case study,https://www.sciencedirect.com/science/article/pii/S0306261926008536?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-06-15 00:00:00 UTC,2026-06-15 00:00:00+00:00,,Emrah Gumus,,,0
