title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
TAF15 amyloids propagate via defined motifs in a prion-like fashion,https://www.nature.com/articles/s41467-026-75607-3,Biological sciences : Nature Communications subject feeds,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,,Nikolaos N. Louros,"TATA-box binding protein–associated factor 15 (TAF15) is an RNA-binding protein and the primary fibrillar constituent in a subset of frontotemporal lobar degeneration (FTLD) cases. However, the molecular determinants underlying TAF15 aggregation remain unclear. Here, we show that TAF15 forms amyloid fibrils under physiological conditions and develop a cellular biosensor to monitor its propagation. Both recombinant TAF15 fibrils and pathological aggregates extracted from FTLD patient brains selectively seed TAF15 biosensor cells, demonstrating prion-like properties. The closely related protein FUS does not seed TAF15 aggregation, revealing a cross-seeding barrier, but partially incorporates into inclusions during TAF15-induced seeding, potentially explaining their pathological overlap in FTLD. Computational and peptide-based mapping identifies aggregation-prone motifs within the low-complexity domain that stabilize ex vivo fibril cores and drive TAF15 propagation. These findings establish TAF15 as an amyloid-forming, prion-like protein and define sequence determinants underlying its self-assembly, providing a mechanistic framework for FTLD-TAF15 and potential therapeutic targets.",nature_html,0
‘Dark comet’ unmasked by its mysterious motions,https://www.nature.com/articles/d41586-026-02192-2,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-02192-2,,A celestial body thought to be an ordinary space rock turns out to have a comet-like tail. A celestial body thought to be an ordinary space rock turns out to have a comet-like tail.,nature_html,0
How the calendar came to be,https://www.nature.com/articles/d41586-026-02102-6,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-02102-6,,"The development of time-keeping, and a book that brings an immune cell back in vogue, in this week’s pick from the Nature archive. Snippets from Nature’s past.",nature_html,0
AI models: one country’s fears become everyone’s constraint,https://www.nature.com/articles/d41586-026-02187-z,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-02187-z,Zaheer Allam,Letter to the Editor,nature_html,0
The Enhanced Games and the normalization of doping: a public health concern,https://www.nature.com/articles/d41586-026-02189-x,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-02189-x,Marilia Santos Andrade,Letter to the Editor,nature_html,0
Academia should recognize community partnerships as having societal impact,https://www.nature.com/articles/d41586-026-02190-4,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-02190-4,Jessa Marabi,Letter to the Editor,nature_html,0
Bird flu H5N1 in Australia: protect Australian species from bird flu virus,https://www.nature.com/articles/d41586-026-02188-y,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-02188-y,Marissa L. Parrott,Letter to the Editor,nature_html,0
Seeking an industry role after your PhD? Make sure your CV reflects that,https://www.nature.com/articles/d41586-026-01855-4,Nature,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,10.1038/d41586-026-01855-4,Elena Hoffer,A doctorate can open many doors. A CV tailored to your planned career path can help to unlock them. A doctorate can open many doors. A CV tailored to your planned career path can help to unlock them.,nature_html,0
Origins of stomatal mechanics in grasses,https://www.nature.com/articles/s41467-026-75616-2,Biological sciences : Nature Communications subject feeds,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,,Anju Manandhar,"Grass stomata are unique in having dumbbell-shaped guard cell anatomy, but the evolutionary context that led to this dramatic anatomical change remains elusive. Here we compared stomatal responses to changes in leaf water status and light across the order Poales, including the closest relatives of grasses which do not have dumbbell-shaped guard cells. Unlike other angiosperms, non-grass Poales have minimal mechanical interactions between guard cells and neighboring epidermal cells. This is surprising because mechanical interactions between these cells increase maximum stomatal aperture and stomatal responsiveness in angiosperms compared to other land plants. Dumbbell-shaped guard cells in grasses are associated with an increased subsidiary cell area into which guard cells can move by displacement when opening. The reemergence of pronounced mechanical interactions between guard cells and subsidiary cells in grasses enhances stomatal sensitivity to environmental signals and may be linked to the ecological success of this lineage.",nature_html,0
Scaling‑free electro‑membrane crystallization enabled by electric field-assisted organic acid control,https://www.nature.com/articles/s41467-026-75277-1,Physical sciences : Nature Communications subject feeds,2026-07-14 00:00:00 UTC,2026-07-14 00:00:00+00:00,,Chuyang Tang,"Mineral scaling, driven by concentration polarization, is an inevitable challenge in electro-membrane technologies for recovering valuable metals from lithium-ion battery (LIB) leachates. Here, we elucidate the synergistic scaling mechanism and propose an electric field-assisted organic acid control (eF-OAC) principle to prevent membrane mineral scaling while enabling metal recovery. The eF-OAC utilizes an electric field to direct organic acids into the membrane matrix, where ligand-metal coordination dissolves hydroxide-rich scale and mobilizes metal species for selective transport and crystallization. Dynamic experimental analysis reveals that concentration polarization enriches metal hydroxides at the membrane interfaces and pores. Static density functional theory calculations further demonstrate that organic ligands are thermodynamically favored over sulfonate groups for coordinating metal hydroxides, enabling targeted dissolution from the membrane. Leveraging this molecular-level selectivity, the eF-OAC converts scale into recoverable crystalline products. In optimized electro-membrane crystallization, this eF-OAC achieves high recovery rates of 97.6% for Li+, 95.3% for Ni2+, 94.2% for Co2+, and 97.8% for Mn2+. It further yields high-purity Li2SO4 (99.4%), Ni(OH)2 (99.2%), Co(OH)2 (99.0%), and Mn3O4 (99.3%). This study clarifies the mechanisms of mineral scaling and demonstrates a scaling-free approach that transforms fouling liabilities into valuable resource recovery for spent LIBs.",nature_html,0
