title,link,published,source,pub_date
Near-100% spontaneous rolling up of polar van der Waals materials,https://www.nature.com/articles/s41563-025-02357-w,2025-10-13 00:00:00 UTC,Nature Materials,2025-10-13 00:00:00+00:00
Exceptionally long-lived charge-separated states in CdS nanocrystals with a covalently bound phenothiazine derivative,https://www.cell.com/chem/fulltext/S2451-9294(25)00351-1?rss=yes,2025-10-13 00:00:00 UTC,Chem,2025-10-13 00:00:00+00:00
Andean peoples hunted and gathered long after they embraced farming,https://www.nature.com/articles/d41586-025-03283-2,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Birds’ intruder alert hints at how sounds took on new meanings,https://www.nature.com/articles/d41586-025-03328-6,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Ultrafast surface melting of orbital order in La0.5Sr1.5MnO4,https://www.nature.com/articles/s41563-025-02379-4,2025-10-13 00:00:00 UTC,Nature Materials,2025-10-13 00:00:00+00:00
"Digital flocks, predators allow ecologists to simulate real-world animal behaviour",https://www.nature.com/articles/d41586-025-03314-y,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
‘Am I redundant?’: how AI changed my career in bioinformatics,https://www.nature.com/articles/d41586-025-03135-z,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Metals are key to the global economy — but three challenges threaten supply chains,https://www.nature.com/articles/d41586-025-03312-0,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Economics Nobel prize won by researchers who showed how science boosts growth,https://www.nature.com/articles/d41586-025-03364-2,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
What an academic misconduct accusation taught me about sharing research,https://www.nature.com/articles/d41586-025-02947-3,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Men’s brains shrink faster than women’s: what that means for Alzheimer’s,https://www.nature.com/articles/d41586-025-03353-5,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Unraveling degradation mechanism of electrolyte at high voltage and a hybridization strategy for non-flammable 4.8 V LiCoO2 battery,https://www.cell.com/joule/fulltext/S2542-4351(25)00347-2?rss=yes,2025-10-13 00:00:00 UTC,Joule,2025-10-13 00:00:00+00:00
Alchemy: discredited pseudoscience or chemistry’s worthy ancestor?,https://www.nature.com/articles/d41586-025-03309-9,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
Extreme Dry-Hot in North America and Europe: The Amplified Role of Warming-Enhanced Land-Air Coupling,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf435/8284995?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Synergistic regulation of molecular additives for stabilization of lithium metal batteries,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf432/8284994?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
One-pot organocatalysis of diacrylates to functional polyesters for toughening polylactide,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf437/8284984?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Tectonic-surface Carbon Cycle Dynamics: Toward Resolving Cross-Scale Coupling Challenges,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf433/8284980?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
"Discovering MXenes, the building blocks for future technology: an interview with Yury Gogotsi",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf431/8284977?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Enantioselective homologation of helical architectures from fluorenones to phenanthrenones with enhanced circular dichroism,https://www.nature.com/articles/s41467-025-64151-1,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Dopamine dynamics during stimulus-reward learning in mice can be explained by performance rather than learning,https://www.nature.com/articles/s41467-025-64132-4,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Ultra-high energy storage in relaxor ferroelectric MLCCs at elevated temperatures via entropy modulated strain heterogeneity,https://www.nature.com/articles/s41467-025-64113-7,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
North American “warming holes” and European heat during abrupt Holocene cooling events in the Atlantic,https://www.nature.com/articles/s41467-025-63330-4,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
ALKBH8-mediated codon-specific translation promotes colorectal tumorigenesis,https://www.nature.com/articles/s41467-025-64144-0,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
High entropy engineered polymer blends with enhanced dielectric properties and high temperature stability,https://www.nature.com/articles/s41467-025-63248-x,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Structural basis of measles virus polymerase inhibition by nonnucleoside inhibitor ERDRP-0519,https://www.nature.com/articles/s41467-025-64128-0,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Author Correction: PAK4 phosphorylates and inhibits AMPKα to control glucose uptake,https://www.nature.com/articles/s41467-025-64713-3,2025-10-13 00:00:00 UTC,Nature Communications,2025-10-13 00:00:00+00:00
Thermoelectric transport with band nonparabolicity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf434/8284974?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Stability breakthrough accelerates commercialization of perovskite indoor photovoltaics,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwaf409/8284970?rss=1,2025-10-13 00:00:00 UTC,National Science Review Advance Access,2025-10-13 00:00:00+00:00
Host cell Z-RNAs activate ZBP1 during virus infections,https://www.nature.com/articles/s41586-025-09705-5,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
"Defending Ohuira Bay, Mexico",https://www.nature.com/articles/d41586-025-03315-x,2025-10-13 00:00:00 UTC,Nature,2025-10-13 00:00:00+00:00
The century-old ship sail technology finally catching on,https://www.bbc.com/news/articles/c1dqznvxylqo?at_medium=RSS&at_campaign=rss,2025-10-13 05:25:52 UTC,BBC News,2025-10-13 05:25:52+00:00
Haifeng Zheng,https://onlinelibrary.wiley.com/doi/10.1002/anie.202521307?af=R,2025-10-13 05:58:33 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 05:58:33+00:00
"Contemporary Trends in Lithium‐Sulfur Battery Design: A Comparative Review of Liquid, Quasi‐Solid, and All‐Solid‐State Architectures and Mechanisms",https://advanced.onlinelibrary.wiley.com/doi/10.1002/aenm.202503239?af=R,2025-10-13 05:58:47 UTC,Wiley: Advanced Energy Materials: Table of Contents,2025-10-13 05:58:47+00:00
Rational Crystal Contact Engineering for Programmable Self‐Assembled Protein Architectures,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516635?af=R,2025-10-13 05:59:37 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 05:59:37+00:00
"A Crystalline Bismuth(II) Radical Anion: Synthesis, Characterization, and Reactivity",https://onlinelibrary.wiley.com/doi/10.1002/anie.202515545?af=R,2025-10-13 06:00:34 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:00:34+00:00
Supramolecular Engineering of Twisted Intramolecular Charge Transfer (TICT) Dyes into Bright Fluorophores with Large Stokes Shifts,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516458?af=R,2025-10-13 06:01:42 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:01:42+00:00
Directional Electron Transfer in Porphyrin‐Based Heteroleptic Metallacages for Enhanced Visible Light‐Driven Photocatalysis,https://onlinelibrary.wiley.com/doi/10.1002/anie.202518798?af=R,2025-10-13 06:03:05 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:03:05+00:00
Economics Nobel celebrates researchers who showed how science and technology drive growth,https://www.science.org/content/article/economics-nobel-celebrates-researchers-who-showed-how-science-and-technology-drives,2025-10-13 06:05:53 UTC,Latest News from Science Magazine,2025-10-13 06:05:53+00:00
The Effect of Cap Structure and Poly(A) Positioning on mRNA Translation Efficiency,https://onlinelibrary.wiley.com/doi/10.1002/anie.202514124?af=R,2025-10-13 06:24:03 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:24:03+00:00
Rhodopsin‐Mimicking Reversible Photo‐Switchable Chloride Channels Based on Azobenzene‐Appended Semiaza‐Bambusurils for Light‐Controlled Ion Transport and Cancer Cell Apoptosis,https://onlinelibrary.wiley.com/doi/10.1002/anie.202519101?af=R,2025-10-13 06:25:48 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:25:48+00:00
Robust Organic Photovoltaic Ternary Strategy Pairing Tunable Wide‐Bandgap Perovskites for Efficient Perovskite/Organic Tandems,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202508611?af=R,2025-10-13 06:26:23 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-13 06:26:23+00:00
Hypercrosslinked Polymers for Volatile and Very Volatile Organic Compound Capture Beyond Commercial Benchmarks,https://onlinelibrary.wiley.com/doi/10.1002/anie.202513362?af=R,2025-10-13 06:27:15 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:27:15+00:00
High‐Selectivity Electrocatalytic Oxidation of Glycerol to C3‐Glyceraldehyde Coupled to H2O2 Production,https://onlinelibrary.wiley.com/doi/10.1002/anie.202514737?af=R,2025-10-13 06:28:23 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:28:23+00:00
Breaking of the Up‐Down Symmetry of DNA Origami on a Solid Substrate,https://onlinelibrary.wiley.com/doi/10.1002/anie.202507613?af=R,2025-10-13 06:32:40 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:32:40+00:00
Synergistic Isothiourea–Guanidine Additive for Achieving Stable Perovskite Solar Cells with a High Certified Quasi‐Steady‐State Output,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202514903?af=R,2025-10-13 06:33:26 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-13 06:33:26+00:00
Engineering Autonomous Micro‐/Nanorobots for Neurological Diseases: From Barrier Crossing to Neuroenergetic Restoration,https://onlinelibrary.wiley.com/doi/10.1002/anie.202519696?af=R,2025-10-13 06:36:08 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:36:08+00:00
C─H Amination of Polypropylene with Sodium N‐Chloro‐Amides,https://onlinelibrary.wiley.com/doi/10.1002/anie.202516324?af=R,2025-10-13 06:37:24 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 06:37:24+00:00
From Self‐Healing to Smart‐Healing: A Self‐Diagnosing and Self‐Healing System Based on Artificial Intelligence,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202513641?af=R,2025-10-13 06:54:25 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-13 06:54:25+00:00
The simulation of judgment in LLMs,https://www.pnas.org/doi/abs/10.1073/pnas.2518443122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Medicine on the menu: When illness informs appetite,https://www.pnas.org/doi/abs/10.1073/pnas.2524005122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Gating of immune-triggered cell death is a redox rhythm–specific output,https://www.pnas.org/doi/abs/10.1073/pnas.2523642122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Guardians at the border: Peritumoral macrophages fight breast cancer,https://www.pnas.org/doi/abs/10.1073/pnas.2523640122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
High-magnetic-field phases in U1-xThxTe2,https://www.pnas.org/doi/abs/10.1073/pnas.2521261122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Sperm and offspring production in a nonobstructive azoospermia mouse model via testicular mRNA delivery using lipid nanoparticles,https://www.pnas.org/doi/abs/10.1073/pnas.2516573122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Precise gene editing of pathogenic Lamin A mutations corrects cardiac disease,https://www.pnas.org/doi/abs/10.1073/pnas.2515267122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Functional organization of the primary motor cortex in psychosis and the potential role of intereffector regions in psychomotor slowing,https://www.pnas.org/doi/abs/10.1073/pnas.2425388122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Synthetic bottlebrush block copolymer prevents disease onset in Duchenne muscular dystrophy,https://www.pnas.org/doi/abs/10.1073/pnas.2513599122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Smartphone use in a large US adult population: Temporal associations between objective measures of usage and mental well-being,https://www.pnas.org/doi/abs/10.1073/pnas.2427311122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Climate change impacts on tropical cyclone–induced power outage risk: Sociodemographic differences in outage burdens,https://www.pnas.org/doi/abs/10.1073/pnas.2502266122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
"Neural predictors of hidden, persistent psychological states at work",https://www.pnas.org/doi/abs/10.1073/pnas.2504382122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Quantifying cell traction forces at the single-fiber scale in 3D: An approach based on deformable photopolymerized fiber arrays,https://www.pnas.org/doi/abs/10.1073/pnas.2507677122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
A species interaction kick-starts ecological speciation in allopatry,https://www.pnas.org/doi/abs/10.1073/pnas.2506625122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Microbial oxidation significantly reduces methane export from global groundwaters,https://www.pnas.org/doi/abs/10.1073/pnas.2508773122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
"Hydrothermal vent temperatures track magmatic inflation and forecast eruptions at the East Pacific Rise, 9°50’N",https://www.pnas.org/doi/abs/10.1073/pnas.2510245122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Sex differences in healthy brain aging are unlikely to explain higher Alzheimer’s disease prevalence in women,https://www.pnas.org/doi/abs/10.1073/pnas.2510486122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Apusomonad rhodopsins: A new family of ultraviolet to blue light–absorbing rhodopsin channels,https://www.pnas.org/doi/abs/10.1073/pnas.2510619122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Post-reproductive lifespan in wild mountain gorillas,https://www.pnas.org/doi/abs/10.1073/pnas.2510998122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Reuniting crystallography with real space: Ab initio structure elucidation with 4D-STEM,https://www.pnas.org/doi/abs/10.1073/pnas.2508185122?mi=eymic2&af=R&access=on&content=articlesChapters&publication=pnas&sortBy=Earliest&target=default,2025-10-13 07:00:00 UTC,Proceedings of the National Academy of Sciences: Keyword search for query,2025-10-13 07:00:00+00:00
Regulating Polymer Demixing Dynamics to Construct a Low‐Tortuosity Host for Stable High‐Energy‐Density Lithium Metal Batteries,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202510919?af=R,2025-10-13 07:16:14 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-13 07:16:14+00:00
Reaction‐Induced Phase Engineering of CuCo Nanoparticles for Enhanced Photothermal CO2 Hydrogenation,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202515661?af=R,2025-10-13 07:26:46 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-13 07:26:46+00:00
Ultrahigh‐Water‐Content yet Robust Hydrogels Enabled by Bioinspired Laminated Membranous Network,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202511595?af=R,2025-10-13 07:34:29 UTC,Wiley: Advanced Materials: Table of Contents,2025-10-13 07:34:29+00:00
Outside Front Cover: Sub‐2 Nm Palladium Phosphide: A Highly Active and Selective Catalyst for the Hydrogenation of Furfural to Furfuryl Alcohol,https://onlinelibrary.wiley.com/doi/10.1002/anie.202521821?af=R,2025-10-13 07:35:39 UTC,Wiley: Angewandte Chemie International Edition: Table of Contents,2025-10-13 07:35:39+00:00
DNA from rum-soaked fishes chronicles century of environmental change,https://www.science.org/content/article/dna-rum-soaked-fishes-chronicles-century-environmental-change,2025-10-13 08:45:00 UTC,Latest News from Science Magazine,2025-10-13 08:45:00+00:00
[ASAP] Discovery and Biosynthetic Interrogation of a Cobalt-Containing Terpene-Polyketide-Nonribosomal Peptide Tribrid with Anticoronavirus Activity,http://dx.doi.org/10.1021/jacs.5c16450,2025-10-13 09:16:58 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-10-13 09:16:58+00:00
[ASAP] Synergistic Rh/La Codoping Enables Trap-Mediated Charge Separation in Layered Perovskite Photocatalysts,http://dx.doi.org/10.1021/jacs.5c12425,2025-10-13 09:28:56 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-10-13 09:28:56+00:00
[ASAP] Real-Time Untargeted Monitoring of Intracellular Metabolism in Live Cells Using 1H NMR and Extracellular Signal Suppression,http://dx.doi.org/10.1021/jacs.5c10909,2025-10-13 10:18:37 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-10-13 10:18:37+00:00
[ASAP] Copper-Catalyzed Asymmetric Nitrenoid Transfer to Access Fused δ-Lactams via HFIP-Assisted Aziridination and Cascade Cyclization,http://dx.doi.org/10.1021/jacs.5c14319,2025-10-13 11:05:21 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-10-13 11:05:21+00:00
[ASAP] Discovery and Mechanism of a Diiron Enzyme in Ethylidene Azetidine Formation,http://dx.doi.org/10.1021/jacs.5c12910,2025-10-13 11:53:18 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-10-13 11:53:18+00:00
[ASAP] Dry-Processed Carbon Nanotube Electrodes Enabling Highly Stable Perovskite Solar Cells with Near-Gold Efficiency,http://dx.doi.org/10.1021/acsenergylett.5c02692,2025-10-13 12:07:37 UTC,ACS Energy Letters: Latest Articles (ACS Publications),2025-10-13 12:07:37+00:00
[ASAP] Pretargeted Mitochondrial Delivery of Organoarsenicals for Cancer Immunotherapy,http://dx.doi.org/10.1021/jacs.5c12201,2025-10-13 19:26:13 UTC,Journal of the American Chemical Society: Latest Articles (ACS Publications),2025-10-13 19:26:13+00:00
