title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Evolutionary trajectory of microbial sulfur oxidation pathways recapitulates Earth’s oxygenation history,https://www.nature.com/articles/s41467-026-75310-3,Earth and environmental sciences : Nature Communications subject feeds,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,,Song-Can Chen,"Dissimilatory sulfur oxidation mediated by the microbial sulfur-oxidizing (Sox) multienzyme complex has played a central role in Earth’s oxidative sulfur cycle. However, the evolutionary trajectory leading to its current complexity remains poorly understood. Here, we integrated expanded genomic records with geochemical evidence to reconstruct the natural history of the Sox system along a geological timeline. Our analyses traced the origin of the truncated Sox system (SoxABXYZ) prior to the Great Oxidation Event (GOE). This early form was later assembled with reverse dissimilatory sulfite reductases (rDsr), facilitating a primitive pathway for sulfate formation during the anoxic Archean eon. Following the post-GOE atmospheric oxygen rise, the truncated system incorporated SoxCD components, evolving into a more fine-tuned, oxygen-adapted pathway compared to the rDsr-coupled alternative. The subsequent spread of these Sox pathway variants was constrained by the oxygen requirements and phylogenetic backgrounds of their prokaryotic hosts, shaping the modern ecological landscape of microbial sulfur oxidation. The viral recruitment of auxiliary Sox components marked the latest evolutionary events, enabling direct manipulation of sulfur cycling over centuries-to-millennia timescales. Collectively, the reconstructed molecular timeline offers deeper insights into the evolutionary dynamics of the global oxidative sulfur cycle and its billion-year interplay with Earth’s changing environments.",nature_html,0
A modifying touch for metal–organic framework glasses,https://www.nature.com/articles/s41557-026-02207-5,Nature Chemistry,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/s41557-026-02207-5,Morten M. Smedskjaer,"The structure and properties of inorganic glasses can be tuned using simple chemical additives, which has contributed to their widespread use. Now, metal–organic framework glasses have been modified through addition of alkali benzimidazolate salts, enabling the modulation of their properties.",nature_html,0
Ladder-shaped molecules for the masses,https://www.nature.com/articles/s41557-026-02211-9,Nature Chemistry,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/s41557-026-02211-9,Robert J. Monroe,"Strain-releasing transformations of bicyclo(2.2.0)hexanes (‘ladderanes’) are underexplored because of their difficult synthetic accessibility. Now, a method provides easier access to this class of molecules and demonstrates their utility in cycloaddition reactions to produce useful structures for medicinal chemistry.",nature_html,0
Multiple hetero-redox centers in a phenazine-ketone scaffold for high-energy-density aqueous flow batteries toward durable energy storage,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag423/8738136?rss=1,National Science Review Advance Access,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1093/nsr/nwag423,Jiangxuan Song,"Organic redox flow batteries (RFBs) operating in alkaline media have attracted significant attention for their inherent safety and environmental compatibility. However, conventional quinone- and ketone-based anolytes suffer from low electron-transfer numbers (≤2 e- per molecule), irreversible isomerization, and concentration-dependent side reactions, ultimately limiting their energy density and long-term cycling stability. Here, we introduce a molecular engineering strategy that leverages the conjugation of heterogeneous redox centers to fuse distinct redox-active motifs, thereby creating a new composite phenazine-ketone molecule capable of a 6-electron transfer process. This multi-hetero-redox center fused scaffold not only overcomes the intrinsic limitations of conventional structures but also exhibits robust kinetics and chemical stability in an alkaline electrolyte. The resulting compound delivers a record capacity of 79.3 Ah L-¹, and sustains stable operation over 3500 cycles (198.5 days), offering a viable pathway toward next-generation high-energy-density, durable and sustainable energy storage technologies.",rss_oup,0
Stepwise-coordinated polymeric nanoplatform enables traceless cytosolic protein delivery and autophagy blockade for enhanced tumor therapy,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag446/8738142?rss=1,National Science Review Advance Access,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1093/nsr/nwag446,Xuesi Chen,"Autophagic degradation of proteins following cellular internalization and endosomal escape presents a significant, yet underexplored, challenge in intracellular protein delivery. This highlights the need for delivery carriers capable of concurrently achieving cytosolic delivery and autophagy inhibition. Here, we report a stepwise-coordinated polymeric nanoplatform based on a tailor-made amphiphilic triblock copolymer (mPEG-b-PGBA-b-PGCQ) that enables traceless cytosolic delivery of functional proteins while concurrently suppressing autophagy. This system incorporates three modular blocks: an mPEG stealth shell, a PGBA block for reversible protein conjugation via pH-sensitive iminoboronates, and a PGCQ block grafted with autophagy inhibitor hydroxychloroquine (HCQ) via self-immolative disulfide linkages. Using ribonuclease A (RNase A) as a model therapeutic, we demonstrated efficient protein release in acidic endolysosomes, simultaneous HCQ-promoted endosomal escape, and glutathione-triggered HCQ liberation in cytosol. The released HCQ significantly enhanced RNase A-induced apoptosis by inhibiting both the autophagic degradation of the protein and RNase A-induced mitophagy. Furthermore, by integrating cytosolic delivery with autophagy inhibition, this platform produced notable functional enhancement across multiple proteins, including green fluorescent protein, β-galactosidase, and horseradish peroxidase, demonstrating its broad utility. Our work establishes a potent traceless delivery and autophagy-blockade strategy for boosting intracellular protein efficacy, with considerable potential in both basic research and biomedical applications.",rss_oup,0
Engineering bamboo as a multiscale platform for carbon-negative materials,https://www.nature.com/articles/s41578-026-00943-1,Nature Reviews Materials,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/s41578-026-00943-1,Orlando J. Rojas,"Carbon-negative materials are increasingly central to credible net-zero strategies; however, their climate benefits depend on transparent life-cycle boundaries, realistic end-of-life scenarios and carbon storage. Bamboo is a fast-growing lignocellulosic resource that combines high biomass productivity with the ability to sequester atmospheric carbon in long-lived materials. Beyond its rapid growth, bamboo exhibits a hierarchical structure extending from molecular composition to cell-wall ultrastructure and tissue organization that influences transport, reactivity, mechanical performance and carbon retention. In this Review, we position bamboo as a multiscale materials platform in which chemical functionality, structural organization and processing pathways can be deliberately engineered to tailor performance and service lifetime. We examine how bond-selective chemistry, controlled hydration and structural modification strategies enable the conversion of bamboo into materials across multiple dimensional scales, including structural composites, functional laminates, fibre-based systems and nanoscale building blocks. We further discuss how process intensity, product durability and cascade utilization influence the extent to which these materials provide net climate benefits. By linking molecular design, hierarchical structure and life-cycle carbon accounting, we establish a framework connecting accessibility, reactivity and carbon permanence in bamboo-derived materials. Finally, we highlight the remaining challenges in structural control, durability and end-of-life design that will need to be overcome for bamboo materials to deliver meaningful climate benefits.",nature_html,0
My job interviews for industry positions are going nowhere. How do I make myself stand out?,https://www.nature.com/articles/d41586-026-02234-9,Nature,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/d41586-026-02234-9,Sarah Wild,A postdoc researcher trying to move into an industry role wants help gaining traction and making it past the first interview stage. A postdoc researcher trying to move into an industry role wants help gaining traction and making it past the first interview stage.,nature_html,0
Huge study finds first genetic clues for borderline personality disorder,https://www.nature.com/articles/d41586-026-02220-1,Nature,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/d41586-026-02220-1,Miryam Naddaf,Largest genetic analysis of the condition so far finds 11 linked locations in the human genome. Largest genetic analysis of the condition so far finds 11 linked locations in the human genome.,nature_html,0
The science of foresight: how to future-proof your research,https://www.nature.com/articles/d41586-026-02231-y,Nature,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/d41586-026-02231-y,Tien Yin Wong,Anticipating from the start the various ways a research programme can succeed or fail can avoid problems later. Here’s how to do it. Anticipating from the start the various ways a research programme can succeed or fail can avoid problems later. Here’s how to do it.,nature_html,0
Smuggling charges against NIH virologists trigger political uproar,https://www.nature.com/articles/d41586-026-01995-7,Nature,2026-07-20 00:00:00 UTC,2026-07-20 00:00:00+00:00,10.1038/d41586-026-01995-7,Dan Garisto,"Other researchers say that non-infectious viral samples in luggage posed no risk, but might have violated import rules. Other researchers say that non-infectious viral samples in luggage posed no risk, but might have violated import rules.",nature_html,0
