title,link,published,source,pub_date
Mysterious ‘little red dots’ are baffling astronomers. What are they?,https://www.nature.com/articles/d41586-025-03352-6,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Tin-based perovskite solar cells with a homogeneous buried interface,https://www.nature.com/articles/s41586-025-09724-2,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Wastewater treatment produces surprising amounts of greenhouse gases,https://www.nature.com/articles/d41586-025-03303-1,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
New bird flu vaccine could tackle multiple variants with one shot,https://www.nature.com/articles/d41586-025-03383-z,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
The Taiwan Precision Medicine Initiative provides a cohort for large-scale studies,https://www.nature.com/articles/s41586-025-09680-x,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
The astrocytic ensemble acts as a multiday trace to stabilize memory,https://www.nature.com/articles/s41586-025-09619-2,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
A vaccine central in A(H5) influenza antigenic space confers broad immunity,https://www.nature.com/articles/s41586-025-09626-3,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
"Isolation, engineering and ecology of temperate phages from the human gut",https://www.nature.com/articles/s41586-025-09614-7,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Population-specific polygenic risk scores for people of Han Chinese ancestry,https://www.nature.com/articles/s41586-025-09350-y,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
In-plane dielectric constant and conductivity of confined water,https://www.nature.com/articles/s41586-025-09558-y,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
"Modern sea-level rise breaks 4,000-year stability in southeastern China",https://www.nature.com/articles/s41586-025-09600-z,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Patchy nanoparticles by atomic stencilling,https://www.nature.com/articles/s41586-025-09605-8,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
A conserved H3K14ub-driven H3K9me3 for chromatin compartmentalization,https://www.nature.com/articles/s41586-025-09624-5,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Integrated lithium niobate photonics for sub-ångström snapshot spectroscopy,https://www.nature.com/articles/s41586-025-09591-x,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Aboveground biomass in Australian tropical forests now a net carbon source,https://www.nature.com/articles/s41586-025-09497-8,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
A long-necked early dinosaur from a newly discovered Upper Triassic basin in the Andes,https://www.nature.com/articles/s41586-025-09634-3,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
Niche-specific dermal macrophage loss promotes skin capillary ageing,https://www.nature.com/articles/s41586-025-09639-y,2025-10-15 00:00:00 UTC,Nature,2025-10-15 00:00:00+00:00
