title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Small-scale photonic Kolmogorov-Arnold networks using standard telecom nonlinear modules,https://www.nature.com/articles/s41467-026-75602-8,Physical sciences : Nature Communications subject feeds,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,,Egor Manuylovich,"Photonic neural networks promise inference at the speed of light, yet most architectures combine linear optical meshes with electronic nonlinearities, reintroducing optical-electrical-optical bottlenecks. Kolmogorov-Arnold networks place trainable nonlinear functions on network edges, concentrating expressivity into a few structured modules. Each edge here is a single module built from a Mach-Zehnder interferometer, a semiconductor optical amplifier, and variable optical attenuators, giving a four-parameter transfer function set by gain saturation and interferometric mixing. A four-module network attains 94.3% accuracy (±3.9% s.d. over ten seeds) on nonlinear classification, and a seven-module network reaches R2 = 0.986 ± 0.015 on six-input regression, remaining robust to 6-bit inputs and 14 dB signal-to-noise ratio. Here, we show that a fully differentiable physics model enables end-to-end optimization of these standard telecom modules, giving a practical route from simulation toward experimental demonstration of photonic Kolmogorov-Arnold networks.",nature_html,0
The need of a ‘self-evolving’ research platform in tribology,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag447/8739103?rss=1,National Science Review Advance Access,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1093/nsr/nwag447,Daniele Dini,"Daniele Dini; The need of a ‘self-evolving’ research platform in tribology, National Science Review, , nwag447, https://doi.org/10.1093/nsr/nwag447",openalex,1
Non-Abelian statistics for bosonic symmetry-protected topological phases,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag444/8739107?rss=1,National Science Review Advance Access,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1093/nsr/nwag444,Xiong-Jun Liu,"Symmetry-protected non-Abelian (SPNA) statistics opens new frontiers in quantum statistics and enriches the schemes for topological quantum computing. In this work, we propose a new paradigm of SPNA statistics in one-dimensional correlated bosonic symmetry-protected topological (SPT) phases and uncover exotic universal features from a systematic investigation. In particular, we show that for generic bosonic SPT phases described by real Hamiltonians, the SPNA statistics of topological zero modes fall into two distinct classes. The first class exhibits conventional braiding of hard-core bosonic zero modes. Furthermore, we discover a second class of unconventional braiding statistics characterized by a nonlinear transformation, featuring a fractionalization of the first class and reminiscent of the non-Abelian statistics of symmetry-protected Majorana pairs. The two distinct classes of statistics have topological origin in classifying non-Abelian Berry phases for braiding processes of real-Hamiltonian systems, distinguished by whether the holonomy involves a reflection operation. To illustrate, we focus on a specific bosonic SPT phase with particle-hole symmetry, and demonstrate that both classes of braiding statistics can be feasibly realized in tri-junctions with and without the aid of a controlled defect, respectively. Analytic and numerical results are given. We demonstrate how to encode logical qubits and implement both single- and two-qubit gates using the two classes of SPNA statistics. Finally, we propose feasible experimental schemes to observe these predictions and identify the parameter regimes for the high-fidelity braiding, paving the way for the experimental observation of our results in the near future.",rss_oup,0
Posterior parietal cortex mediates rarity-induced decision bias,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag449/8739108?rss=1,National Science Review Advance Access,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1093/nsr/nwag449,Yang Yang,"Optimal decision-making under uncertainty is critical for survival, yet real-world decisions often deviate from optimality. Here, we report a rarity-induced bias in humans and mice, where rare events exert a stronger and more persistent impact on subsequent decisions than common events. Optogenetic manipulations reveal distinct, learning stage-specific roles of the posterior parietal cortex (PPC): in the naïve stage, PPC drives the rarity-induced bias and interferes with optimal decisions; in the expert stage, PPC becomes essential for stimulus-based decisions. In vivo recordings support these dynamic roles, showing that rare reward history bidirectionally modulates choice-selective PPC neurons to induce bias, while learning enhances stimulus-encoding of PPC neurons to promote optimal decisions. A data-inspired dual-agent model recapitulated the bias and learning process, and predicted PPC’s contribution to learning as confirmed by optogenetics. Our study uncovers a rarity-induced bias, and reveals PPC’s essential roles in mediating this bias and stimulus-based learning under uncertainty.",rss_oup,0
Don’t let AI steal all the joy: what scientists won’t give up to chatbots,https://www.nature.com/articles/d41586-026-02213-0,Nature,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1038/d41586-026-02213-0,Anne Pichon,Nature asked readers of the Nature Briefing what they like about their job and don’t want to hand over.,nature_html,0
Does China’s latest AI model finally equal US rivals? What scientists think,https://www.nature.com/articles/d41586-026-02281-2,Nature,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1038/d41586-026-02281-2,Mohana Basu,"‘Kimi K3’ can match or outperform cutting-edge models, says Moonshot AI. But its large size might limit uptake.",nature_html,0
Seven ways endurance sports have taught me to be a better researcher,https://www.nature.com/articles/d41586-026-02215-y,Nature,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1038/d41586-026-02215-y,Megan Cooke,The ‘24-hour rule’ and other tips from sport can improve lab life.,nature_html,0
Ten years of mapping gene expression in tissues,https://www.nature.com/articles/d41586-026-02212-1,Nature,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1038/d41586-026-02212-1,Jean Fan,Spatially resolved transcriptomic technologies continue to enhance understanding of development and disease through a feedback loop involving academia and industry.,nature_html,0
Oil and gas drilling is shifting to the deep sea — here’s what is at stake,https://www.nature.com/articles/d41586-026-02232-x,Nature,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1038/d41586-026-02232-x,Yuxin Zhao,Technologies are taking the search for fossil fuels to the deepest parts of the ocean. Engineers must keep ecological risks manageable.,nature_html,0
Moving floors keep buildings from swaying with the wind,https://www.nature.com/articles/d41586-026-02258-1,Nature,2026-07-21 00:00:00 UTC,2026-07-21 00:00:00+00:00,10.1038/d41586-026-02258-1,,A construction design inspired by traditional Japanese pagodas could help to keep modern towers safe.,nature_html,0
