title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Volatile anaesthetics modulate voltage-gated sodium channel function at a site directly linked to channel gating,https://www.nature.com/articles/s41467-026-74518-7,Biological sciences : Nature Communications subject feeds,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,,Hugh C. Hemmings Jr.,"Voltage-gated sodium channels (VGSCs) mediate neuronal excitability and synaptic transmission and are functionally relevant targets for volatile anaesthetic (VA) actions. Here, we show that multiple VAs at clinically relevant concentrations share binding sites on NavMs, a prokaryotic VGSC. Sevoflurane, a representative VA, interacts with NavMs and NaChBac with functional effects paralleling those on human VGSCs, including modulation of channel inactivation. X-ray crystallography of purified NavMs reveals an atomic-resolution VA binding site in a VGSC, in which sevoflurane displaces lipid to occupy a membrane-embedded hydrophobic pocket. Alanine substitution of an invariant tyrosine within this binding pocket abolishes sevoflurane binding and eliminates the sevoflurane-induced hyperpolarising shift of steady-state inactivation. Sevoflurane modulates both fast and slow inactivation of human Nav1.1, demonstrating VA modulation of steady-state slow inactivation in a neuronal VGSC. Supporting evidence shows that VAs interact with homologous sites in human VGSCs. These findings define a VA binding site in VGSCs that supports a membrane-assisted pathway for modulating channel gating and neuronal activity in general anaesthesia.",nature_html,0
A silicon chip for water-based parallel DNA synthesis,https://www.nature.com/articles/s41928-026-01664-7,Nature Electronics,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1038/s41928-026-01664-7,,"Parallel DNA synthesis is key to high-throughput synthetic biology and diagnostics, and potentially to DNA data storage, but has proved challenging under mild conditions. Now, a silicon chip is developed that enables the parallel enzymatic synthesis of 64 distinct DNA sequences in water through spatially programmed electrochemical pH control.",nature_html,0
Isolation and reactivity of an alkyl-substituted germanium(I) radical anion,https://www.nature.com/articles/s41467-026-74699-1,Physical sciences : Nature Communications subject feeds,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,,Zhaowen Dong,"The isolation of low-valent main group radical species remains a fundamental challenge in synthetic chemistry due to their intrinsic instability. Herein, we report the successful isolation and full characterization of an alkyl-substituted germanium(I) radical anion predominantly stabilized by steric protection with minimal electronic perturbation. This radical anion exhibits thermal stability in both the solid state and in solution at ambient temperature, enabling thorough structural, spectroscopic and reactivity investigations. EPR spectroscopy and DFT calculations consistently verify predominant localization of the unpaired electron at the germanium center. Furthermore, the Ge(I) radical anion presents unique radical reactivity patterns demonstrating by its reactivity investigation. This work represents a rare example of an isolable low-valent group 14 radical species.",nature_html,0
Entropy-driven order-to-disorder transition in perovskite anodes for high-performance solid oxide fuel cells,https://www.nature.com/articles/s41467-026-74549-0,Physical sciences : Nature Communications subject feeds,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,,Kening Sun,"Solid oxide fuel cells (SOFCs) enable direct and efficient conversion of transportable hydrocarbons into electricity, offering a scalable pathway for carbon-neutral energy systems. A critical challenge in SOFC development lies in the atomic-scale structural regulation of perovskite-type anodes, which is essential for enhancing hydrocarbon oxidation kinetics while mitigating carbon deposition issues. To overcome this fundamental limitation, we propose an entropy-driven strategy to induce order-to-disorder transitions in perovskite oxides. This strategy is demonstrated in the layered ordered perovskite PrBaFe2O5+δ, where the introduction of five equimolar rare-earth cations at the Pr site results in the formation of a disordered A-site high-entropy perovskite anode with the composition La0.2Pr0.2Sm0.2Gd0.2Y0.2BaFe2O5+δ (HEP). Such atomic-scale order-to-disorder transitions facilitate oxygen vacancy formation and improve anode hydration capacity, thereby accelerating both hydrocarbon steam reforming and carbon elimination processes. The designed HEP anode exhibits a peak power density of 774.53 mW·cm–2 and stability over 1000 hours under wet methane (3 vol% H2O) at 700 °C. The present work contributes a new strategy for controlling ion ordering in perovskite oxides, addressing key challenges in SOFC operating with hydrocarbon fuels.",nature_html,0
Electron-rich dianion vacancies boost diazenide intermediates for efficient chemical looping ammonia synthesis,https://www.nature.com/articles/s41467-026-74563-2,Physical sciences : Nature Communications subject feeds,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,,Tian-Nan Ye,"Activating the nitrogen molecule under mild conditions remains a great challenge in ammonia synthesis. Electron-rich active sites are highly sought after to lower the activation barrier and enable efficient ammonia formation. In this work, we engineer electron-rich dianion vacancies using rare-earth carbide (LaC2) as a platform, where N2 undergoes horizontal adsorption and lattice embedding at the C2 dianion vacancy sites. In situ experimental characterization, combined with computational calculations, reveals that the adsorbed N2 molecules accept electrons from the C2 dianion vacancies, forming highly reactive (N = N)δ− intermediates. These species are crucial for promoting ammonia synthesis via an associative pathway. Utilizing the chemical looping ammonia synthesis process, LaC2 emerges as an optimal candidate for N2 activation and the Ni/LaC2 catalyst demonstrates exceptional performance, achieving 6.9 mmol·g⁻1·h⁻1 at 400 °C and 0.1 MPa, exceeding the activity of previously reported metal catalysts for chemical looping ammonia synthesis process and even surpasses the performance of the state-of-the-art 3d transition metal catalyst for catalytic ammonia synthesis under identical conditions. These findings provide new insights into electron-rich, defect-mediated activation processes and offer a promising strategy for the design of efficient and stable catalysts for ammonia synthesis under mild conditions.",nature_html,0
Koopman global linearization of contact dynamics for robot locomotion and manipulation enables elaborate control,https://www.nature.com/articles/s41467-026-72485-7,Physical sciences : Nature Communications subject feeds,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,,H. H. Asada,"Controlling robots that dynamically engage in contact with their environment is a pressing challenge. Whether a legged robot making-and-breaking contact with a floor, or a manipulator grasping objects, contact is everywhere. Unfortunately, the switching of dynamics at contact boundaries makes control difficult. Predictive controllers face non-convex optimization problems when contact is involved. Here, we overcome this difficulty by applying Koopman operators to subsume the segmented dynamics due to contact changes into a unified, globally-linear model in an embedding space. We show that viscoelastic contact at robot-environment interactions underpins the use of Koopman operators. This methodology enables the convex Model Predictive Control of a legged robot, and the real-time control of a manipulator engaged in dynamic pushing. In this work, we show that our method allows robots to discover elaborate control strategies in real-time over time horizons with multiple contact changes, and the method is applicable to broad fields beyond robotics.",nature_html,0
Zeolite membrane reactors for efficient catalytic conversion of CO2 into high-value chemicals,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag383/8711760?rss=1,National Science Review Advance Access,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1093/nsr/nwag383,Bao-Lian Su,"Converting CO2 into high-value chemicals is vital for achieving carbon capture and utilization (CCU). Although many advanced catalysts have been developed to activate the thermodynamically stable CO2 molecules, overcoming equilibrium limitations remains essential for improving conversion efficiency. Zeolite membrane reactors (ZMRs) have been explored to overcome thermodynamic constraints and further improve conversion efficiency. This review provides insights into catalyst evolution and highlights the pivotal role of zeolite membranes in enhancing CO2 conversion to high-value chemicals such as methanol, dimethyl ether and dimethyl carbonate within ZMRs. An overview of zeolite membrane selection, preparation and catalyst-membrane coupling strategies is presented, along with recent advances in process modeling to elucidate reaction-separation interactions. The stability of ZMR systems under practical conditions is also discussed. Finally, future perspectives, identifying key challenges and potential research directions, are presented. This review aims to inspire further innovations in efficient CO2 conversion to high-value chemicals using ZMRs.",rss_oup,0
Breaking energy-power-stability trade-off in Li-S battery via HoMS,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag382/8711770?rss=1,National Science Review Advance Access,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1093/nsr/nwag382,Bao-Lian Su,"Yuanguo Wu, Xikun Zhang, Xingbao Zhu, Bao-Lian Su; Breaking energy-power-stability trade-off in Li-S battery via HoMS, National Science Review, , nwag382,",openalex,1
Solitons mediated by skin-mode localization and band nonreciprocity,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag381/8711777?rss=1,National Science Review Advance Access,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1093/nsr/nwag381,Kun Ding,"Solitons typically arise from the competition between band dispersion and nonlinearity. In lattices exhibiting the non-Hermitian skin effect, increasing nonlinearity induces a transition in localization from linear skin modes to solitons. However, localization alone does not clarify how skin modes and band dispersion contribute to soliton formation or classification. Here, by formulating a Wannier‑projected effective nonlinear Hamiltonian, we show that soliton formation is determined by how skin‑mode localization and band nonreciprocity suppress or enhance wave dispersion, giving rise to two distinct families: skin‑mode‑assisted solitons (SMASs) and nonreciprocity‑dressed solitons (NRDSs). Using a stacked Su-Schrieffer-Heeger-like model as a prototype, we construct the soliton threshold diagram and analytically demonstrate that increasing nonreciprocity lowers the SMAS threshold but raises that of NRDSs. We further extend the framework to higher dimensions and more complex lattices, establishing its generality. This work provides predictive tools for understanding and engineering solitons in experimentally realizable non-Hermitian systems.",rss_oup,0
Stem cells banish severe autoimmune disease for 15 years,https://www.nature.com/articles/d41586-026-01925-7,Nature,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1038/d41586-026-01925-7,Rachel Fieldhouse,Two people were the first to receive the therapy for a condition that damages the spinal cord and optic nerve. Two people were the first to receive the therapy for a condition that damages the spinal cord and optic nerve.,nature_html,0
Briefing Chat: Testosterone and sperm might get a boost from obesity drugs,https://www.nature.com/articles/d41586-026-01963-1,Nature,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1038/d41586-026-01963-1,Nick Petrić Howe,"Nature staff discuss preliminary data on the effects of GLP-1 drugs on male fertility, plus a two-year trial of a brain–computer interface. Hear the biggest stories from the world of science | 19 June 2026",nature_html,0
A long-lived butterfly’s secret to graceful ageing,https://www.nature.com/articles/d41586-026-01948-0,Nature,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,10.1038/d41586-026-01948-0,,"Species in the Heliconius genus are among the longest-lived butterflies, thanks to a diet of pollen. Species in the Heliconius genus are among the longest-lived butterflies, thanks to a diet of pollen.",nature_html,0
Single-cell RNA sequencing profiles drug activity within spatially engineered 3D cultures,https://www.nature.com/articles/s41467-026-74587-8,Biological sciences : Nature Communications subject feeds,2026-06-19 00:00:00 UTC,2026-06-19 00:00:00+00:00,,Cameron W. Evans,"Spatial transcriptomic techniques provide a wealth of information useful in guiding drug development, while three-dimensional (3D) cell cultures have demonstrated power in accelerating drug approvals. However, techniques for robust spatial analysis of 3D cultures are limited. Here, we present a transfection-based method for constructing cellular spheroids through a layer-by-layer approach, in which DNA barcodes encode the spatial positioning of cells. Our technique facilitates multiplex single-cell RNA sequencing, providing spatial maps of gene expression and drug response, while correlative imaging reveals the locations of barcoded cell populations and quantifies local tissue elasticity. We show that model HeLa 3D spheroids display heterogeneous responses to drugs, which may arise through diffusion gradients of the drug, or from differences in metabolism, nutrient supply, and cellular stressors. The ability to create spatially encoded cellular assemblies may help to reveal spatial variation in gene expression within 3D culture models.",nature_html,0
