title,link,source,published_str,pub_date,doi,last_author,abstract,abstract_source,must_have_abstract
Complete Linker Desymmetrization Enabled Construction of an eft‐Topological Zr(IV)‐MOF Comprising Two Types of Hexazirconium Nodes for Ammonia Capture,https://onlinelibrary.wiley.com/doi/10.1002/anie.9211185?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:40:16 UTC,2026-06-21 15:40:16+00:00,10.1002/anie.9211185,Wei Gong,"ABSTRACT
                  
                    Rational design and serendipitous discovery constitute the two wheels of molecular science. Despite the fruitful achievements of constructing metal‐organic frameworks from highly symmetric linkers under the guidance of reticular chemistry principles, the formulation of synthetic principles with unsymmetric organic linkers, while fundamentally important for targeting unexpected structures and functions, has been underdeveloped. Herein, we achieved a Zr(IV)‐based MOF (SJTU‐24) with a computationally modelled trinodal (3,4,8)‐connected
                    eft
                    topology where two types of Zr
                    6
                    secondary building units (SBUs) co‐exist, including an unprecedented 4‐connected concave coordination figure, through a complete linker desymmetrization approach. This topology, to our knowledge, has not been experimentally achieved in Zr‐based MOFs, highlighting the pivotal role of linker symmetry manipulation in the discovery of materials with non‐default topology. SJTU‐24 exhibits exceptional ammonia capture performance among Zr‐based MOFs, reaching 14.1 and 4.8 mmol/g adsorption capacity at 1 and 0.1 bar, respectively. Semi‐in situ Infrared (IR) and x‐ray photoelectron spectroscopic (XPS) studies decipher that both the Brønsted acidic hydroxyl sites in the Zr
                    6
                    SBUs and the monodentately‐coordinated carboxylate moieties in the linkers participate in the interactions with NH
                    3
                    . This work, thus provides a valuable insight into leveraging complete linker desymmetrization engineering to unlock non‐default and sophisticated structures with improved properties.",crossref,0
Lithium–Nitrogen Battery: Promise and Development Roadmap,https://onlinelibrary.wiley.com/doi/10.1002/anie.4624830?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:43:06 UTC,2026-06-21 15:43:06+00:00,10.1002/anie.4624830,Bao‐Lian Su,"ABSTRACT
                  
                    Lithium–nitrogen (Li–N
                    2
                    ) batteries offer a unique electrochemical paradigm that combines intrinsically safe energy storage with sustainable N
                    2
                    conversion to value‐added chemicals. About ten years after the first ground‐breaking report, the practical development of Li–N
                    2
                    batteries is still restricted by poor reversibility and limited cycling stability. Here, we first introduce this highly innovative and promising Li–N
                    2
                    battery technology and then specify the key challenges ahead for the poor reversibility of Li–N
                    2
                    batteries from reaction mechanisms, characterization technologies, and the battery configurations. We further highlight a flow field‐assisted “flow‐type” cell configuration that presents exciting future opportunities to realize reversible Li–N
                    2
                    batteries. Besides, we discuss that the diversity in terms of electrolytes, electrode materials, and separators is key to establishing long‐term Li–N
                    2
                    batteries. The possible mechanistic pathways of N
                    2
                    reduction and lithiation over heterogeneous electrocatalysts are also discussed. We recommend a rigorous experimental protocol for evaluating Li–N
                    2
                    batteries to ensure reproducibility and reliable performance comparison across studies. Overall, this perspective aims to inspire future generations of researchers to advance both fundamental understanding and practical breakthroughs, thereby engineering a paradigm shift in Li–N
                    2
                    chemistry research.",crossref,0
Iron‐Catalyzed Asymmetric NH2‐Amination of Sulfenamides,https://onlinelibrary.wiley.com/doi/10.1002/anie.1625296?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:43:56 UTC,2026-06-21 15:43:56+00:00,10.1002/anie.1625296,Fei Wang,"ABSTRACT
                  
                    The increasing prominence of stereogenic‐at‐sulfur motifs in drug discovery and catalysis has created a growing demand for versatile synthetic methods. We describe here an Fe(
                    TIBS
                    PDP)‐catalyzed enantioselective
                    
                      NH
                      2
                    
                    ‐amination of sulfenamides to access chiral sulfinamidines. This method accommodates a broad range of sulfenamides, enabling direct access to diverse nitrogenated stereogenic‐at‐sulfur architectures. The synthetic utility is demonstrated by the efficient preparation of pharmaceutically relevant compounds, such as an aza‐analog of drug candidate LY181984 and a PP2A modulator. Moreover, this reaction represents the first example of asymmetric
                    
                      NH
                      2
                    
                    transfer using the widely employed bioinspired Fe(PDP)‐type catalysts.",crossref,0
Increasing TET Expression and 5‐Hydroxymethylcytosine Formation by a Carbocyclic 5‐Aza‐2′‐deoxy‐cytidine Antimetabolite,https://onlinelibrary.wiley.com/doi/10.1002/anie.6265286?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:45:19 UTC,2026-06-21 15:45:19+00:00,10.1002/anie.6265286,Thomas Carell,"ABSTRACT
                  Ten‐eleven translocation (TET) enzymes are critical epigenetic regulators, which oxidize the methylated cytosine nucleobase 5‐methyl‐dC (mdC) in the genome to 5‐hydroxymethyl‐dC (hmdC) in an α‐ketoglutarate‐dependent manner. Because the presence of mdC in the promoter region of a given gene silences its expression, this oxidation goes in hand with the reactivation of such silenced genes. In different highly aggressive cancers such as acute myeloid leukemia (AML) and glioblastoma, loss of TET enzyme function, and therefore reduced hmdC levels pave the way for tumor development. Impairment of TET activity can occur through metabolic inhibition, through loss‐of‐function mutations in TET genes themselves, and finally through suppression of TET‐expression via epigenetic silencing. Reactivation of TET enzyme expression represents a major aim of epigenetic cancer therapy. Here we show that the carbocyclic antimetabolite 5‐aza‐2′deoxycytidine (cAzadC), which is supposed to suppress the methylation of DNA during replication, leads to a substantial increase of TET2 expression and strongly increasing hmdC levels. We show that the treatment with cAzadC goes in hand with the broad reactivation of the cellular antitumor responses. With patient‐derived xenograft AML‐mouse models, we show that this translates into a strongly improved anticancer effect in vivo.",crossref,0
Taming the Hydrogen‐Mediated Kinetic Switch for Sulfur‐Tolerant CO2 Electroreduction,https://onlinelibrary.wiley.com/doi/10.1002/anie.3424135?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:46:07 UTC,2026-06-21 15:46:07+00:00,10.1002/anie.3424135,Bao Yu Xia,"ABSTRACT
                  
                    Direct electrochemical conversion of industrial flue gas offers a promising route to carbon neutrality, but it remains limited by trace sulfur dioxide (SO
                    2
                    , 10–400 ppm) impurities. These impurities cause rapid catalyst deactivation, particularly under the high reaction rates required for industrial application. Here, we introduce a hydrophobic molecular gate strategy to decouple impurity transport from catalyst deactivation. By regulating the interfacial water solvation structure and proton transfer pathways, this design creates a water‐deficient regime to lock the kinetic switch. As a result, SO
                    2
                    is isolated from the hydrogen‐mediated reduction, while the transient water required for efficient CO
                    2
                    conversion is preserved. When paired with a lattice‐strained copper catalyst, this architecture allows a scaled‐up 100 cm
                    2
                    membrane electrode assembly (MEA) to operate at a total current of 20 A for over 120 h, maintaining an ethylene (C
                    2
                    H
                    4
                    ) Faradaic efficiency (FE) &gt;56% in simulated flue gas.",crossref,0
A Radial‐Linear π‐Conjugated Polymer by Integrating Poly(Para‐phenylene Vinylene) and Cycloparaphenylene for Enhanced Optoelectronic and Electrochemical Performance,https://onlinelibrary.wiley.com/doi/10.1002/anie.6921317?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:47:46 UTC,2026-06-21 15:47:46+00:00,10.1002/anie.6921317,Pingwu Du,"ABSTRACT
                  
                    Herein, we present a new class of hybrid conjugated polymer that integrates [8]cycloparaphenylene ([8]CPP) directly into poly(para‐phenylene vinylene) (PPV) frameworks, creating a π‐extended poly(cyclo(para‐phenylene vinylene)) (
                    [8]CPPV
                    ). Comprehensive characterization confirmed its well‐defined alternating structure. Photophysical analyses revealed curvature‐driven electronic coupling between the radial CPP and linear PPV π‐systems, resulting in broadened absorption, red‐shifted emission, and high fluorescence quantum yield. Furthermore,
                    [8]CPPV
                    demonstrates excellent performance as a lithium‐ion battery anode, combining high initial capacity with stable cycling enabled by mixed pseudocapacitive and diffusion‐controlled Li
                    +
                    storage mechanisms. These results establish
                    [8]CPPV
                    as a versatile all‐carbon polymeric framework that bridges molecular nanohoops and extended π‐networks, offering a tunable platform for optoelectronic and energy storage applications.",crossref,0
Chemically Regulated STING‐Activating Prodrugs of Deoxyribose Cyclic Dinucleotides Elicit Robust Immune Activation and Durable Antitumor Immunity,https://onlinelibrary.wiley.com/doi/10.1002/anie.8478309?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:49:52 UTC,2026-06-21 15:49:52+00:00,10.1002/anie.8478309,Zhen Xi,"ABSTRACT
                  
                    Derivatives of deoxyribose cyclic dinucleotides (dCDNs) displayed notable advantageous properties in the activation of STING pathway. The chirality of the phosphotriester of dCDN prodrugs may influence the stability, cellular permeability, bioactivity and duration, which remains inadequately explored through systematic evaluations in cellular and animal models. Herein, we isolated and characterized all three diastereoisomers of alkyne‐conjugated esterase‐sensitive dCDN prodrugs, and meticulously examined their difference in stability, cellular uptake and bioactivity. Within THP1 cells, the (
                    Rp,Rp
                    ) diastereoisomer demonstrated the highest level of activation of STING pathway (EC
                    50
                    = 1.7 nM), and induced more robust and prolonged activation pulse than the (
                    Rp,Sp
                    ) and (
                    Sp,Sp
                    ) diastereoisomers. In murine models, prodrugs elicited significantly stronger stimulation in the development of an antitumor immune response compared to the parent CDN 3′,3′‐c‐di‐dAMP, as well as the clinically relevant STING agonist ADU‐S100. The (
                    Rp,Rp
                    ) diastereoisomer exhibited the most pronounced antitumor activity in the context of intravenous administration, significantly suppressing tumor proliferation, extending the survival with a complete response (CR) rate of 90% in a mouse CT26 tumor model, and establishing long‐lasting tumor‐specific immunological memory. These findings underscore the importance of considering the chirality of phosphotriesters in the development of more effective, safer, and sustainable STING agonist in tumor immunotherapy.",crossref,0
"Reductive Activation of White Phosphorus to [P4]2–, [P2]2–, and a Formal P2– Radical by Rare‐Earth Dinitrogen Complexes",https://onlinelibrary.wiley.com/doi/10.1002/anie.6643873?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:52:19 UTC,2026-06-21 15:52:19+00:00,10.1002/anie.6643873,Richard A. Layfield,"ABSTRACT
                  
                    Activation of white phosphorus (P
                    4
                    ) to smaller P
                    
                      n
                    
                    units by rare‐earth compounds remains a synthetic challenge. Here, we show that the rare‐earth dinitrogen complexes [{(Cp
                    ttt
                    )
                    2 
                    M}
                    2
                    (μ‐1,2‐N
                    2
                    )] (M = Y, Gd; Cp
                    ttt
                     = 1,2,4‐tri(
                    tert
                    ‐butyl)cyclopentadienyl), reductively cleave P
                    4
                    to give a homologous series of phosphorus anions of decreasing nuclearity, that is, [{(Cp
                    ttt
                    )
                    2 
                    M}
                    2
                    (μ‐P
                    4
                    )] (
                    1
                    
                      M
                    
                    ), [{(Cp
                    ttt
                    )
                    2 
                    M}
                    2
                    (μ‐η
                    2
                    :η
                    2
                    ‐P
                    2
                    )] (
                    2
                    
                      M
                    
                    ), and [{(Cp
                    ttt
                    )
                    2 
                    M}
                    2
                    (μ‐P)] (
                    3
                    
                      M
                    
                    ). Structural, spectroscopic, and computational studies show that
                    1
                    
                      M
                    
                    contains a bicyclobutane‐like [P
                    4
                    ]
                    2–
                    ligand, whereas
                    2
                    
                      M
                    
                    features a side‐on coordinated [P═P]
                    2–
                    ligand, and
                    3
                    
                      M
                    
                    comprises a monatomic P
                    2–
                    ligand formulated as a phosphorus‐centered radical with
                    S
                     = 1/2. The EPR spectrum of
                    
                      3
                      Y
                    
                    confirms hyperfine coupling to
                    31
                    P and
                    89
                    Y, while magnetic measurements on
                    
                      3
                      Gd
                    
                    reveal strong antiferromagnetic exchange between the Gd
                    3+
                    ions and the radical ligand. Density functional theory supports a three‐center π‐type M–P–M interaction in
                    3
                    
                      M
                    
                    , with the unpaired spin localized primarily on phosphorus and only weak delocalization onto the metal centers. These findings represent progressive fragmentation of P
                    4
                    to diatomic and monatomic phosphorus anions by rare‐earth reagents, thereby extending the chemistry of multiply bonded phosphorus and persistent phosphorus radicals into the rare‐earth series.",crossref,0
Buried‐Interface Iodine Redox Regulation for Durable All‐Perovskite Tandem Photovoltaics,https://onlinelibrary.wiley.com/doi/10.1002/anie.4918900?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:54:42 UTC,2026-06-21 15:54:42+00:00,10.1002/anie.4918900,Guichuan Xing,"ABSTRACT
                  
                    Tin–lead (Sn–Pb) mixed perovskites have propelled all‐perovskite tandem solar cells (APTSCs) beyond 30% efficiency, yet buried‐interface instability impedes commercialization. The ubiquitous PEDOT:PSS layer readily facilitates the oxidation of I
                    −
                    , and the subsequent diffusion of corrosive I
                    2
                    severely compromises device performance—a fundamental chemical degradation pathway that leaves unresolved. Here, we introduce 6‐amino‐2‐thiouracil (ATU) as a multifunctional additive that chemically targets this degradation pathway. Embedded within the PEDOT:PSS layer, the interaction between ATU and PSS contributes to alleviating the oxidation of I
                    −
                    while its C═S moiety actively reduces corrosive I
                    2
                    back to I
                    −
                    , establishing a dynamic iodine‐recycling mechanism that addresses the root chemical cause of instability. Concurrent defect passivation and crystallization modulation further enhance film quality. Benefiting from these synergistic effects, the optimized APTSCs achieve a champion efficiency of 29.29% (certified 28.79%) and exhibit significantly improved stability, maintaining over 85% of their initial efficiency after 500 h of maximum power point tracking. By targeting buried‐interface corrosive I
                    2
                    , this work provides a rational framework beyond conventional passivation for durable perovskite photovoltaics.",crossref,0
Non‐Dilute Synthesis of Macrodiolides and Macrotetrolides Enabled by Confinement Catalysis,https://onlinelibrary.wiley.com/doi/10.1002/anie.6206059?af=R,Wiley: Angewandte Chemie International Edition: Table of Contents,2026-06-21 15:57:32 UTC,2026-06-21 15:57:32+00:00,10.1002/anie.6206059,Konrad Tiefenbacher,"ABSTRACT
                  Macrodiolides are widespread motifs in functional molecules, yet their synthesis remains challenging. Existing methods typically still rely on high‐dilution conditions to suppress undesired oligomerization, limiting efficiency and scalability. Therefore, developing macrocyclization strategies under non‐dilute conditions remains a long‐standing goal. Herein, we report a confinement approach to address this challenge by utilizing the spatial restriction and conformational preorganization provided by the hexameric resorcin[4]arene capsule. Such supramolecular confinement enables the cyclization of readily accessible diols and diacyl chlorides to afford 18–32‐membered macrodiolides under non‐dilute conditions and without the need for slow‐addition procedures. Notably, the method also enables the one‐pot formation of 26–32‐membered macrotetrolides, a transformation that is difficult to achieve using conventional strategies, including high‐dilution conditions. Compared with established ring‐closing metathesis, this strategy offers higher efficiency, shorter synthetic routes, and access to more strained macrodiolides. Overall, these findings highlight the power of confinement catalysis for challenging macrocyclization reactions.",crossref,0
