title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
An adaptive modeling method with optimal order selection for thermostatically controlled loads,https://www.sciencedirect.com/science/article/pii/S0306261926010032?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Wen-Yan Hu,,,
A two-stage distributed optimization for non-convex P2P energy trading in prosumer-based distribution networks,https://www.sciencedirect.com/science/article/pii/S0306261926010184?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Xiaofei Wang,,,
Bridging macro-trend and micro-dynamics: A robust mixed-frequency framework for mid-term load forecasting,https://www.sciencedirect.com/science/article/pii/S0306261926010160?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Dalin Qin,,,
A data-driven model based on parallel acceleration and BERT to improve accuracy for short-term photovoltaic power prediction,https://www.sciencedirect.com/science/article/pii/S0306261926010512?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Qianqiu Qiu,,,
"Bi-level stochastic planning and energy management of a multi-carrier energy system with electrical, cooling, heating, and hydrogen hubs",https://www.sciencedirect.com/science/article/pii/S0306261926009918?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Abdelfatah Ali,,,
A trustworthy hybrid human-LLM assisted safe reinforcement learning method for distribution network operation,https://www.sciencedirect.com/science/article/pii/S0306261926010433?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-11 00:00:00+00:00,,Jianguo Zhu,,,
Balancing climate ambition and price stability: The case of South Africa’s carbon tax,https://www.sciencedirect.com/science/article/pii/S0301421526004179?dgcid=rss_sd_all,,ScienceDirect Publication: Energy Policy,2026-07-11 00:00:00+00:00,,Abraham Lartey,,,
Conflict-averse federated multi-task learning for power system stability assessment,https://www.sciencedirect.com/science/article/pii/S0306261926010172?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-12 00:00:00+00:00,,Chao Ren,,,
Sample-efficient LLM fault diagnosis for HVAC systems via active sampling and SHAP-guided evidence condensation,https://www.sciencedirect.com/science/article/pii/S0306261926010354?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-12 00:00:00+00:00,,Zhenqian Chen,,,
Physics-informed reinforcement learning for energy-efficient minute-scale control of split-type air-conditioning systems: Experimental validation on real hardware,https://www.sciencedirect.com/science/article/pii/S0306261926010561?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-12 00:00:00+00:00,,Yiyang Zhang,,,
Performance evaluation and transient characteristics of a kerosene-fueled SOFC-GT hybrid aviation power system for long-endurance UAVs under multi-scenario operation,https://www.sciencedirect.com/science/article/pii/S0306261926010809?dgcid=rss_sd_all,,ScienceDirect Publication: Applied Energy,2026-07-12 00:00:00+00:00,,Lingzhi Han,,,
