title,link,published,source,pub_date,doi,last_author,last_author_source,abstract,abstract_source
ProLM: a plasma proteomics pretrained model for the general population,https://www.nature.com/articles/s41467-026-75507-6,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Yadong Wang,,"Plasma proteomics can provide a dynamic molecular readout of human health, but models that learn generalizable protein-expression patterns in population cohorts remain limited. Here we show that ProLM, a BERT-based plasma proteomics model pretrained on 15,499 relatively healthy UK Biobank participants, captures baseline protein-expression relationships and supports prediction of 16 common chronic diseases. After disease-specific fine-tuning, the ProLM-derived proteomic risk score outperformed the Age+Sex model for all 16 diseases, the cardiovascular disease (ASCVD) risk equation for 14 diseases and a 35-variable clinical PANEL score for 11 diseases. Model interpretation highlighted proteins including GDF15 whose expression changed more than 15 years before clinical diagnosis, and key findings were externally evaluated in the China Kadoorie Biobank. These results support plasma proteomics pretrained models as tools for early chronic-disease risk stratification, while prospective validation is needed before clinical implementation.",nature_html
Large-scale data-driven inverse EM design based on metacircuit-embedded surface,https://www.nature.com/articles/s41467-026-75411-z,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Peiguo Liu,,"General-purpose electromagnetic model is central to intelligent electromagnetic applications. However, its development is limited by severe scarcity of training data, arising from the high computational cost of full-wave simulations and reliance on specialized topologies that yield single EM function. To overcome this challenge, we introduce a metacircuit-embedded surface (MCES) framework, consisting of a fixed structural topology and flexible metacircuits that can be realized through lumped components. By shifting design focus from full-wave simulation to circuit-level modeling, over six million samples can be easily generated with laptop computation resources. Subsequently, an MCES-based forward and inverse AI design method was developed, providing rich design capability in frequency, amplitude, phase and polarization domains. Finally, three kinds of classical metasurfaces were designed and fabricated, showing superior performance compared to reported advanced designs. Overall, the proposed MCES-based framework greatly raises the design efficiency and training scale, paving the way for future general-purpose electromagnetic model.",nature_html
Structure of cytoplasmic RNA polymerase II,https://www.nature.com/articles/s41467-026-75416-8,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Carrie Bernecky,,"RNA polymerase II (Pol II) must be assembled in the cytoplasm before it enters the nucleus, where it transcribes protein-coding genes. Although transcription by Pol II is intensively studied, how this central multi-subunit enzyme is made and the role of dedicated assembly factors remains unclear. Here, we report the integrative structural analysis of a native human Pol II from the cytoplasm captured near the end of biogenesis. The complex contains Gdown1 and three biogenesis factors – RPAP2 and the critical small GTPases GPN1 and GPN3. Cryo-EM analysis of the complex reveals how Gdown1 and RPAP2 associate with Pol II and prevent the premature association of transcription factors. Further biochemical and cryo-EM analysis reveals how RPAP2 tethers GPN1–GPN3 to the complex and how the assembly of the RPAP2–GPN1–GPN3 complex is controlled by GTP hydrolysis. The combined results uncover a network of interactions that chaperone cytoplasmic Pol II to prevent aberrant interactions, reveal a molecular switch regulating biogenesis factor association, and suggest a general mechanism for the action of GPN-loop GTPase family of enzymes.",nature_html
Cerebellar neural populations orchestrate dopamine reward signaling with single-trial precision,https://www.nature.com/articles/s41467-026-75371-4,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Ming-Kai Pan,,"Reward-based learning requires neural circuits to rapidly register outcomes and adapt behavior, yet how subcortical circuits contribute to temporally precise reward signaling remains elusive. Here, we identify a cerebellar mechanism encoding rewards with single-trial precision. Utilizing cleared-tissue tractography, electrophysiology, and two-photon imaging in a mouse foraging task, we describe a brief population silencing in the deep cerebellar nucleus (DCN), termed instantaneous population silencing (IPS), triggered by synchronized activity of Purkinje cells (PCs). This transient silencing emerges 100 ms after reward, scales with reward prediction errors, and induces rebound phasic firing of ventral tegmental area (VTA) dopamine neurons. Such single-trial temporal accuracy enabled precise reward control via PC-to-DCN or DCN-to-VTA projections. A single 5-ms optogenetic pulse suffices to elicit one IPS and corresponding phasic VTA response, shifting behavior with single-trial precision. Our findings underscore the cerebellum’s role in real-time reward coding, illustrating how population dynamics achieve temporal and single-event precision.",nature_html
Synchrotron cryo-soft X-ray microscopy reveals bacterial interactions with nanostructured calcium phosphate substrates,https://www.nature.com/articles/s41467-026-75323-y,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Montserrat Espanol,,"Nanostructured synthetic bone grafts offer a promising strategy to prevent bacterial colonisation while supporting bone regeneration. Here, calcium-deficient hydroxyapatite (CDHA) nanopillars synthesized from α-tricalcium phosphate exhibit contact-killing activity against Gram-positive Bacillus subtilis. Unlike inert bactericidal surfaces, CDHA exchanges ions with the surrounding environment, introducing chemical interactions alongside mechanical damage. Using synchrotron cryo-soft X-ray tomography and spectromicroscopy, we visualise bacterial ultrastructure and intracellular ionic changes in fully hydrated cells at subcellular resolution. Some bacteria exposed to the nanotopographies display membrane rupture, cytosolic leakage, and multivesicular body formation, indicating severe stress responses. XANES cryo-spectromicroscopy and linear absorption coefficient analysis identify a bacterial subpopulation with increased intracellular calcium, correlating with calcium release from the substrate and confirmed by confocal microscopy. However, this calcium accumulation does not affect viability, consistent with the halotolerant nature of B. subtilis. These findings provide insights into the combined effects of nanotopography and surface chemistry on bacterial responses.",nature_html
From data chaos to physically interpretable deterministic mapping,https://www.nature.com/articles/s41467-026-75164-9,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Xiaofeng Zhou,,"Discovering governing equations directly from observational data remains a fundamental challenge in science and engineering, particularly when measurements are noisy, high-dimensional, or multi-scale. Existing approaches often cast equation discovery as a regression problem that selects candidate terms to fit observed trajectories, which can limit structural stability and identifiability under realistic data conditions. We propose a structured operator-learning framework that reformulates equation discovery as a constrained dynamical inference problem integrating spectral decomposition, physics-guided sparse projection, and cross-view consistency regularization within a unified architecture. By decomposing dynamics into scale-resolved components and enforcing invariance across perturbed observations, the framework promotes stable and interpretable equation recovery. Here, we show that the method consistently identifies compact governing equations while maintaining strong long-horizon predictive accuracy across canonical nonlinear systems and representative industrial processes, even under noisy and distribution-shifted data.",nature_html
Ion-disrupted hydrogen-bond networks enable fast water transport under two-dimensional confinement,https://www.nature.com/articles/s41467-026-75604-6,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Sheng Hu,,"Water transport under nanoscale confinement often exhibits anomalously high flow rates that defy classical hydrodynamic descriptions. While such behavior is commonly analyzed assuming pure water, confined water under realistic conditions inevitably contains dissolved ions. How ion-water interactions reshape hydrogen-bond networks and regulate nanoscale water transport therefore remains poorly understood. Here we study ion-modulated water transport using vermiculite-based two-dimensional nanochannels with tunable, exchangeable interlayer cations. Despite larger interlayer spacings, membranes hosting strongly hydrated ions exhibit markedly slower water transport, whereas weakly hydrated ions enable ultrafast permeation. Infrared spectroscopy reveals ion-dependent restructuring of the hydrogen-bond network, with weakly hydrated cations disrupting hydrogen-bond connectivity and shifting the O-H stretching band toward higher frequencies. Molecular dynamics simulations further show that such disruption enhances the population and mobility of dynamically exchanging hydration water, which dominates two-dimensional water diffusion under confinement. These findings establish ionic effects as an essential component of confined water transport and provide a molecular framework for understanding anomalous water flow across natural and engineered nanochannels.",nature_html
A macroscopic condensation theory for vibrational strong coupling effects,https://www.nature.com/articles/s41467-026-75222-2,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Pengfei Huo,,"Recent experiments demonstrated the possibilities of modifying ground-state chemical reaction rates by placing an ensemble of molecules in an optical microcavity. This regime is commonly referred to as Vibrational Strong Coupling (VSC), and typically operates in the absence of any light source (in the dark). VSC causes reaction rate constant modifications, exhibits phase-transition type of behavior for equilibrium constant modifications, and the effect starts only when the collective Rabi splitting surpasses a threshold. Existing theoretical work often focuses on the single excitation pictures, centered around the idea of vibrational polaritons and dark states. We find that due to the many-body nature of VSC, most of the VSC effects can be potentially explained by forming a macroscopic condensation of vibrations. We theoretically demonstrate that by surpassing a critical Rabi splitting, the VSC system starts to macroscopically occupy one condensate state, which we believe could be the common explanation for VSC-induced effects.",nature_html
Reconfigurable single-shot spectroscopy reaching 86 femtometers resolution,https://www.nature.com/articles/s41467-026-75468-w,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Bin Luo,,"Single-shot spectroscopy enables the capture of an entire transient event within a single measurement, providing critical insights into rapid and non-repetitive processes across diverse fields such as biomedical diagnostics, environmental monitoring, material stress analysis, advanced manufacturing, and telecommunication network fluctuation detection. Despite its promise, current single-shot spectroscopic systems are fundamentally constrained by an inherent incompatibility between spectral bandwidth, spectral resolution, and acquisition speed, limiting their versatility and broader adoption. Here, we introduce a reconfigurable single-shot spectroscopy method that offers full programmability over spectral bandwidth, resolution, and acquisition speed, enabling programmable navigation of the trade-off. By selecting optimal configurations, our approach compensates for the traditional limitations in spectral resolution, achieving a record-breaking resolution of 86 femtometers in the 1.5 μm band—comparable to state-of-the-art Michelson-based Fourier transform spectrometers. Leveraging this technique, we successfully capture rapid dynamic spectral fluctuations of phase-shift fiber Bragg gratings induced by both continuous (9 kHz) and sudden (0.1 ms) vibrations. This innovation broadens the application landscape and paves the way for the commercialization of single-shot spectroscopy.",nature_html
Benzyl alcohol biosynthesis and its subcellular compartmentalization enable scent formation and salicylic acid production,https://www.nature.com/articles/s41467-026-75494-8,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Natalia Dudareva,,"Benzyl alcohol, a simple aromatic alcohol found in more than half of seed plant families, plays important roles in plant-environmental interactions and serves as a precursor of benzyl benzoate, an intermediate in the phenylalanine-dependent biosynthesis of the phytohormone salicylic acid. Despite its importance, the enzyme responsible for benzyl alcohol formation in plants has remained unknown. Using a combination of classical biochemical, proteomic and genetic approaches, we demonstrated that two NADPH-dependent benzaldehyde reductases, differing by only three amino acids, are responsible for the formation of benzyl alcohol and its downstream derivatives, benzyl benzoate and methyl salicylate, in petunia flowers. Moreover, downregulation of benzaldehyde reductase expression substantially reduces salicylic acid levels in petunia stems upon pathogen infection. These findings provide direct evidence that benzaldehyde reductase is the last unidentified enzyme in salicylic acid biosynthesis via the benzyl benzoate intermediate. Moreover, the subcellular localization of benzaldehyde reductase homologs across flowering plants is species-specific, occurring either in peroxisomes or cytosol, suggesting that different species employ distinct compartmental organization for phenylalanine-dependent salicylic acid biosynthesis.",nature_html
Temporal self-similarity reveals percolation universality classes in complex networks,https://www.nature.com/articles/s41467-026-75436-4,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Jingfang Fan,,"Catastrophic fragmentation and structural transitions are ubiquitous in real-world complex systems, yet their underlying universality classes remain largely elusive due to strong structural heterogeneity and the absence of well-defined critical thresholds. Here, we discover a robust phenomenon of temporal self-similarity governing the dynamic percolation process across diverse complex networks. By tracking the full statistics of incremental growth events, we reveal that fragmentation dynamics are governed by two independent Fisher-type critical exponents, τc and τs. These exponents uniquely characterize the system’s universality class, from which all other standard critical exponents can be derived through newly established scaling relations. After rigorously validating this framework on canonical network models, we apply it to extensive empirical datasets. Strikingly, our analyses across biological, social, and infrastructural systems demonstrate that real-world networks systematically exhibit universality classes distinct from those predicted by idealized network models, reflecting the influence of higher-order structural features. Our findings establish a dynamic paradigm that bridges statistical physics and real-world resilience, offering a parameter-free, highly scalable approach to classify and characterize structural vulnerabilities in inherently heterogeneous systems.",nature_html
Ultra-flexible optoelectronic stimulator converts tissue-attenuated weak light into electrical signals for cardiac remodeling,https://www.nature.com/articles/s41467-026-75495-7,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Chuanbin Mao,,"Precise spatiotemporal resolution and wireless multi-site modulation of excitable tissues via optoelectronics offers transformative potential for bioelectronic medicine, yet clinical translation is hindered by the rigidity of conventional silicon-based devices and their reduced performance under tissue-attenuated illumination, where the weak light reaching implants often fails to generate sufficient stimulation voltage. Here, we report an ultra-flexible, high-efficiency optoelectronic stimulator (OES) based on (Bi,Sb)2Se3, a semiconductor with crystal structure comprising parallel 1D chains that enable efficient flexibility and photocarrier transport. The OES achieves robust photoelectric conversion under near-infrared light intensities as low as 0.55 μW cm−2, reaching quantum efficiency of up to 89.60% while conforming seamlessly to soft tissues. In a rat model of myocardial infarction, the OES restored electrical conduction across infarcted regions and improved cardiac function under weak-light stimulation. Scalable fabrication yields large-area devices without loss of performance, as validated in a swine model. This work introduces a clinically translatable optoelectronic platform for soft-tissue modulation under low-power light, establishing a foundation for next-generation, minimally invasive cardiac repair technologies.",nature_html
Visualizing dual-sites synergistic catalysis in non-iridium catalysts for acidic oxygen evolution reaction,https://www.nature.com/articles/s41467-026-75396-9,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Yan Zhang,,"Understanding electron transfer at the solid/liquid electrochemical interface is critical for deciphering synergistic catalysis, yet elucidating how metal dopants mediate charge transfer between adjacent active centers remains challenging. Here, we incorporate a series of metal dopants (Cu, Mn, W) into RuO2 to investigate how dual-site (M–Ru) electron transfer affects catalytic activity and stability. Combining in situ characterization with theoretical simulations, we reveal that Mn doping intensifies Ru 4d–O 2p orbital coupling and establishes unidirectional electron transfer, which peroxidizes Ru under high voltage and accelerates performance degradation. In contrast, W doping modulates the Ru 4d- and O 2p-band centers to reduce orbital overlap, weakening Ru–O covalency and enabling bidirectional electron transfer. Functioning as a voltage-gated electron regulator, the W site dynamically switches roles: at low potentials it acts as an electron acceptor to activate Ru sites and promote water dissociation, while at high potentials it serves as an electron donor to suppress Ru peroxidation. This mechanism endows the catalyst with good stability, showing negligible activity decay during 300 hours of operation at 500 mA cm⁻².",nature_html
Tip functionalization of anisotropic plasmonic nanoparticles with conductive polymer patches via site-selective micelle intercalation,https://www.nature.com/articles/s41467-026-75238-8,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Mingjie Liu,,"Plasmonic patchy nanoparticles (NPs), which consist of polymer domains distributed on metal NP surface, are important for photonics, electronics, and biomedicine applications. However, current synthetic strategies are largely limited to thiol-containing ligands or block copolymers. It remains a challenge to achieve the site-selective positioning of functional conductive polymer patches on a metal NP. Here, we show how micelle intercalation dictates the nucleation sites of polypyrrole (PPy) on anisotropic plasmonic NPs, including Au nanorods (NRs) and triangular nanoprisms. The site-selectivity of the PPy patches is governed by NP local curvature and sodium dodecyl sulphate (SDS) concentration. Moreover, we control over the charge transfer at the PPy and Au interface through HCl doping, offering possible stimuli-responsive properties at single-NP level. Furthermore, we extend the structural complexity via seed-mediated overgrowth and self-assembly. These results establish micelle intercalation as a strategy for programming conductive polymer patches on plasmonic NPs with diverse geometries.",nature_html
Hierarchical nano-orderings enable extraordinary cryogenic strength-ductility synergy in a medium-entropy alloy,https://www.nature.com/articles/s41467-026-75563-y,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Zibin Chen,,"Cryogenic alloys simultaneously achieving ultrahigh yield strength (YS ≥ 2.0 GPa) alongside substantial uniform elongation (UE) are critically needed, yet fundamentally constrained by the strength-ductility trade-off. Guided by Eshelby’s inclusion theory, we reconcile this challenge by designing a novel hierarchical nano-ordering (HNO) architecture within an ultrafine-grained NiCoCr-based multi-principal element alloy, fabricated via combining additive-manufacturing and tailored post-processing. The HNOs—featuring a controlled size distribution and interfacial properties—comprise dispersed incoherent σ-dispersoids (~70 nm), a high density of bimodal coherent L12 precipitates (~5 and 26 nm) and widespread, highly-distorted local-chemical-orderings (~0.7 nm). This configuration introduces a stepwise increase in elastic strain energy, which in turn triggers the sequential activation of potent dislocation sources. The resulting mobile dislocations engage in extensive and varied interactions with the nano-orderings during deformation, thereby activating cooperative strain-hardening mechanisms. These nano-architectures thus function simultaneously as dislocation generators, strain-hardening enablers, and strengthening agents. Consequently, this HNO-mediated self-hardening and self-ductilizing mechanisms yield an exceptional cryogenic (77 K) property set: YS of ~1.96 GPa, ultimate tensile strength of ~2.35 GPa, and UE of ~22%, surpassing both the cast counterpart and all previously reported advanced alloys. This strategy establishes a transformative paradigm for designing ultrastrong-yet-ductile materials through integrated manufacturing approaches.",nature_html
Crossover between intrinsic and temperature-assisted regimes in spin-orbit torque switching of antiferromagnetic order,https://www.nature.com/articles/s41467-026-74311-6,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Satoru Nakatsuji,,"Intensive studies have been made on antiferromagnets as candidate materials for next-generation memory bits due to their ultrafast dynamics reaching picosecond time scales. Recent demonstrations of electrical bidirectional switching of antiferromagnetic states have attracted significant attention. However, in the presence of significant Joule heating that destabilizes the magnetic order, the timescales associated with the switching can be limited to nanoseconds or longer. Here, we present the observation of a crossover in the switching behavior of the chiral antiferromagnet Mn3Sn by tuning the magnetic layer thickness. While Joule heating interferes with switching in thicker devices, we find clear signatures of an intrinsic spin-orbit torque mechanism as the thickness is reduced, avoiding the heating effect. The suppression of heating enables switching without significant attenuation of the readout signal using pulses shorter than those required by temperature-assisted mechanisms. The crossover into the spin-orbit torque switching behavior clarifies the potential for achieving ultrafast switching as expected from the picosecond spin dynamics of antiferromagnets. Our results lay the groundwork for designing antiferromagnetic memory devices that can operate at ultrafast timescales.",nature_html
Conifer-shaped multi-layer elastocaloric regenerators,https://www.nature.com/articles/s41467-026-75487-7,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Ya-Ling He,,"Elastocaloric cooling enjoyed fast development, however, its full potential has yet to be released, partially due to the inevitable inhomogeneous phase transition in elastocaloric regenerators. Here, we report a conifer-shaped multi-layer elastocaloric regenerator by aligning geometry with variable transformation stress to address this challenge. Inspired by coniferous tree architecture, the design strategically varies the number of tubes across three layers to match the intrinsic transformation stress profile, mitigating overstress and incomplete transitions. Using identical commercial-grade NiTi material, the regenerator achieves a 45.5 K load-free temperature span that is 12.4% higher than the uniform baseline. Scalability is demonstrated via a reciprocating elastocaloric water chiller incorporating two regenerators, achieving 272.6 W cooling power at zero temperature span. We also demonstrate that the conifer shape applies to intra-layer, establishing a geometry-function matching principle for future high-performance elastocaloric regenerators and systems.",nature_html
Polarity and anti-distortive polarons in WO3 through epitaxial shear strain,https://www.nature.com/articles/s41467-026-75049-x,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Beatriz Noheda,,"Bestowing complementary metal-oxide semiconductor-compatible binary oxides with additional functionalities is a powerful strategy toward the realization of oxide electronics. Ideal candidates are thin films which display a strong sensitivity to strain, chemical doping or nanoscale confinement. Among these, crystalline tungsten trioxide WO3 exhibits exceptional structural flexibility, enabling a wide range of functionalities. Here we reveal the emergence of a polar phase in epitaxial WO3 thin films. We accomplish this by imposing epitaxial shear strain, which stabilizes a low-symmetry triclinic structure that persists up to large film thicknesses and elevated temperatures. At the atomic scale, a change in the oxygen octahedral tilt pattern facilitates this symmetry lowering into a polar phase, which manifests as a periodic in-plane polarized stripe domain configuration with needle-like bifurcations at the microscale. The stripe domain walls further exhibit a strongly enhanced electrical conductivity in conjunction with a pronounced reduction of a distortive structural mode, providing experimental evidence for anti-distortive polaronic transport recently predicted in WO3.",nature_html
Colorimetric correction of electrocatalytic urea quantification,https://www.nature.com/articles/s41467-026-75519-2,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Dingsheng Wang,,"As a feasible path for the green and sustainable synthesis of urea, electrochemical C-N coupling reactions have attracted considerable attention. To achieve high catalytic coupling performances, efficient electrocatalysts are indispensable. Notably, precise quantification of urea serves as the cornerstone for assessing catalyst performance. Urease can catalyze the decomposition of urea into ammonium (NH4+), and this process is widely used in the quantification of electrocatalytic urea synthesis via calculating the increase of NH4+ concentration. Unexpectedly, NH4+ impurities are present in all four commercial ureases, posing a substantial risk of false-positive of urea concentration. Even when using the urease with the lowest content of NH4+ impurity, the false-positive production rate of urea can exceed most reported performance thus far in electrocatalytic urea synthesis. Therefore, we recommend a simple procedure that adds NH4+ impurity of commercial ureases as a subtractive term into the equation of conventional urease method for reliable urea quantification. The accuracy of the refined urease method is validated in previously reported CO2/NO3− system, thereby ensuring reliable development in urea electrosynthesis.",nature_html
Oncogenic Ras drives EED degradation and PRC2 dysfunction to promote aggressive squamous cell carcinoma,https://www.nature.com/articles/s41467-026-75529-0,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Elena Ezhkova,,"Squamous cell carcinomas (SCCs) are common epithelial malignancies frequently associated with EZH2 upregulation, which correlates with aggressive growth and poor prognosis. EZH2 functions as the catalytic subunit of Polycomb repressive complex 2 (PRC2), which deposits the repressive H3K27me3 histone mark, yet PRC2 function in SCC pathogenesis remains unresolved. Here, we uncover a paradox: although EZH2 is elevated, the PRC2-catalyzed H3K27me3 is profoundly reduced in human SCC and complementary murine models. Mechanistically, we identify that oncogenic Ras signaling causes degradation of the PRC2 subunit EED, destabilizing PRC2 and depleting H3K27me3. Loss of EED reprograms keratinocytes into an aggressive tumor-specific cell state and induces paracrine factors that remodel the tumor microenvironment, driving metastasis. Remarkably, reintroducing EED suppresses tumor growth via restoring PRC2 integrity and H3K27me3 levels, revealing the reversibility of this epigenetic collapse. These findings link oncogenic signaling to epigenetic reprogramming and uncover PRC2 reconstitution as a potential therapeutic option in epithelial cancers.",nature_html
Local deformation mapping reveals diffusion through microstructures,https://www.nature.com/articles/s41467-026-75351-8,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Jan Schroers,,"Microstructure–property relationships, particularly those where plastic deformation is based on atomic diffusion, remain a grand challenge in metallurgy due to the tradeoff between spatial resolution, sampling area, and the associated throughput. To address this, we propose local deformation mapping (LDM) as a high-resolution, high-throughput characterization technique. LDM determines what diffuses locally through microstructures, experimentally realized by pressing a nanomold onto a microstructure, forming a nanorod array. Such arrays, representing deformation maps, can exhibit ~10 nm² resolution across macroscopic areas ( ~ cm²), generating up to ~10¹² data points in a single experiment. The spatial separation of the plastic response from the microstructure enables sensitive chemical composition mapping of this response. Nanorods’ length and composition are then converted into diffusivity maps via a hereby developed analytic model. We demonstrate a one-step determination of grain boundary diffusivity as a function of misorientation angle, temperature-dependent deformation behavior, and previously unknown fast diffusion within interphase boundaries in eutectic-containing alloys. Altogether, LDM is a powerful platform to advance the quantitative understanding of structure–property relationships for a wide range of materials across a broad temperature range.",nature_html
Transcriptomic analysis of tissue-resident memory T cells of the fallopian tube reveals a precursor immune surveillance network for ovarian cancer prevention,https://www.nature.com/articles/s41467-026-74599-4,,Biological sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Ahmed Ashour Ahmed,,"The fallopian tube (FT) is increasingly recognized as the origin of high-grade serous ovarian cancer (HGSOC), yet its immune landscape remains poorly understood. Here, we employ single-cell RNA sequencing and paired T-cell receptor sequencing to profile tissue-resident memory-like T cells (TRML) from patient-derived matched non-cancerous FT, metastatic tumors, and peripheral blood. We identify substantial clonal and functional overlap (18.4%) between FT-derived and tumor-infiltrating TRMLs, exceeding that of circulating T cells. Shared clonotypes are preferentially enriched in exhausted CD8+ subsets, including a previously uncharacterized SIK3-high subset linked to epigenetic plasticity and metabolic adaptation. Functionally, FT-derived TRMLs recognize autologous tumor antigens, showing strong interferon-γ (IFN-γ) responses and CD137 upregulation in organoid coculture assays, supporting a role in early immune surveillance. Notably, FT TRMLs exhibit lower exhaustion than tumor counterparts, suggesting therapeutic potential. These findings reveal a precursor immune surveillance network in the FT and support leveraging FT-resident T cells for cancer immunotherapy and prevention.",nature_html
In situ topotactic transition to porous crystals boosts methane photooxidation,https://www.nature.com/articles/s41467-026-75390-1,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Kui Xie,,"The rapid recombination of photogenerated electron-hole pairs represents a fundamental bottleneck in photocatalysis. Constructing porous single crystals is expected to resolve this issue by simultaneous optimization of light absorption, charge transport and mass diffusion. Here, we present a topotactic lattice contraction strategy for synthesizing porous single-crystalline zinc blende ZnO monoliths with exceptional crystallinity, phase purity and high porosity. In situ transmission electron microscopy reveals the atomic-scale formation process: preferential S/O migration along {222} channels enable epitaxial nucleation, while interfacial strain induces vacancy coalescence into interconnected nanopores. The low defect density in ZnO effectively suppresses photogenerated carrier recombination, exhibiting improved charge transport and prolonged carrier lifetime. Incorporating atomically dispersed Ru sites (0.6 wt%) further enhances charge separation efficiency, achieving 82% selectivity for methyl hydroperoxide in methane photooxidation while maintaining >85% activity over 40 hours. This work establishes a route to porous single crystals, advancing material design for prospective application in photocatalysis.",nature_html
Interfacial chirality-induced magnetic-field-free switching with high energy efficiency in all-vdW heterostructures,https://www.nature.com/articles/s41467-026-75548-x,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Je-Geun Park,,"Chirality, a central concept across many scientific disciplines, continues to inspire the discovery of novel physical phenomena. In condensed matter physics, structural chirality—defined by the absence of mirror plane symmetries—has primarily been explored in bulk materials. However, new chiral phenomena can emerge uniquely at the interface, distinct from their bulk counterparts, when a chiral material forms a heterostructure. Here, we demonstrate that all van-der-Waals (vdW) heterostructure composed of the chiral Co1/3TaS2 and the achiral vdW ferromagnet Fe3GeTe2 exhibits two distinct and unconventional spin-orbit torques originating from the interfacial chirality. These torques enable magnetic-field-free switching of perpendicular magnetization with ultralow current density \( \sim \,{10}^{6}\,{\text{A}/\text{cm}}^{2}\) and minimal power dissipation \( . Moreover, by replacing Fe3GeTe2 with a similar vdW ferromagnet, Fe3GaTe2, but of higher Curie temperature, we achieved the magnetic-field-free switching at room temperature in the Fe3GaTe2/Co1/3TaS2 vdW heterostructure. Our findings establish interfacial chirality as a powerful new handle for spintronic control, opening a new pathway to explore chirality-induced phenomena beyond the bulk symmetry constraints – and paving the way toward highly efficient, low-power spintronic devices based on all-vdW heterostructures.",nature_html
Electric current as a stabilizing thermodynamic field in metallic crystals,https://www.nature.com/articles/s41467-026-75477-9,,Physical sciences : Nature Communications subject feeds,2026-07-13 00:00:00+00:00,,Shih-kang Lin,,"Electric current is typically associated with electromigration damage, but under steady current-carrying conditions it can also bias lattice stability. Here, in situ synchrotron X-ray diffraction and nanodiffraction show that a current density of 1.5&#x00D7;103"" role=""presentation"">1.5×1031.5\times {10}^{3}A cm−2 retains hexagonal η-Cu6Sn5 under conditions where temperature-matched thermal treatment drives the η → η′ transformation. The retained η phase accommodates the current through anisotropic elastic distortion, with c-axis expansion of ~1.3% and basal-plane contraction of ~0.8%, accompanied by plane-selective dislocation rearrangement and partial lattice recovery after current removal. Grain-resolved stress/strain mapping yields a spatially averaged post-ECS principal-stress scale of ~30–40 MPa, consistent with an order-of-magnitude electron-wind estimate, while the associated elastic-energy density of 9–12 MJ m−3 remains well below the reconstructive barrier of ~150 MJ m−3. These results identify a phenomenological electron-wind-driven elastic accommodation regime in η-Cu6Sn5 under the present current density and experimental geometry, accompanied by plane-selective defect rearrangement, and are experimentally consistent with a Gibbs-like T&#x2212;&#x03C3;&#x2212;J"" role=""presentation"">T−σ−JT-\sigma -J description of the current-carrying steady state.",nature_html
